lon lat preferred min max
13.8822 42.1286 1.5722 1.1971 2.0034
13.9256 42.0973 1.3136 1.0153 1.6464
13.5668 41.9286 0.56756 0.44172 0.70616
13.567 41.9281 0.51627 0.3969 0.65091
13.6104 41.8901 1.2208 0.92376 1.5665
13.6768 41.8311 0.60919 0.45576 0.79196
13.4655 42.0661 0.69316 0.52672 0.88527
13.0231 42.35 0.42374 0.30711 0.57225
13.1149 42.273 1.7693 1.299 2.3519
13.6944 42.065 0.21304 0.16221 0.27146
