Year	Mo	Da	Ho	Lat	Lon	H	Mw	MwUnc	McModel2
1685	0	0	0	43.662	12.541	0	3.93	0.46	0
1685	3	8	19	46.28	7.63	0	5.30	1.00	0
1685	5	0	0	40.722	14.731	0	4.73	0.54	0
1686	0	0	0	46	14.5	0	4.63	0.46	0
1686	6	13	10	38.115	13.362	0	4.16	0.46	0
1687	4	25	0	40.628	14.485	0	4.63	0.46	0
1687	10	2	0	38.675	15.899	0	5.10	0.46	0
1688	1	14	0	41.131	14.778	0	4.16	0.46	0
1688	4	11	12	44.39	11.942	0	5.84	0.24	1
1688	6	5	15	41.283	14.561	0	7.06	0.10	1
1688	7	20	0	38.733	16.159	0	4.63	0.46	0
1688	7	23	0	41.687	15.337	0	5.33	0.46	0
1688	8	14	0	41.208	14.669	0	4.86	0.46	0
1688	8	19	5	44.288	11.881	0	4.16	0.46	0
1688	10	12	0	41.131	14.778	0	4.40	0.46	0
1689	0	0	0	43.664	12.411	0	5.10	0.46	1
1689	3	19	0	44.281	12.107	0	3.70	0.46	0
1689	4	0	0	42.877	12.747	0	4.63	0.46	0
1689	7	21	9	42.415	13.076	0	4.16	0.46	0
1689	7	21	11	42.415	13.076	0	5.10	0.46	1
1689	9	21	0	41.273	16.288	0	4.86	0.46	0
1689	12	22	1	47.263	11.566	0	5.33	0.53	0
1690	1	26	0	42.916	12.726	0	4.63	0.46	0
1690	2	3	2	42.955	12.704	0	4.40	0.46	0
1690	3	22	21	43.457	12.239	0	4.86	0.46	0
1690	5	4	0	46.139	12.218	0	4.40	0.46	0
1690	12	4	14	46.633	13.88	0	6.16	0.16	1
1690	12	23	0	43.55	13.594	0	5.58	0.30	1
1691	2	19	0	46.088	14.453	0	5.33	0.46	0
1691	9	26	0	41.264	15.898	0	4.16	0.46	0
1691	12	10	0	46.2	14.5	0	5.33	0.46	0
1692	3	4	22	40.903	15.196	0	5.88	0.36	0
1692	10	23	20	43.837	13.018	0	4.16	0.46	0
1693	1	8	0	39.873	16.157	0	5.27	0.39	0
1693	1	9	21	37.141	15.035	0	6.07	0.23	1
1693	1	11	13	37.14	15.013	0	7.32	0.10	1
1693	2	23	0	36.858	14.761	0	4.63	0.46	0
1693	2	22	8	43.442	12.436	0	4.16	0.46	0
1693	3	24	0	41.652	13.922	0	5.22	0.51	1
1693	4	1	7	37.587	15.309	0	4.63	0.46	0
1693	4	17	19	36.858	14.761	0	4.16	0.46	0
1693	5	12	13	36.858	14.761	0	4.63	0.46	0
1693	7	6	9	45.28	10.644	0	5.23	0.50	1
1693	7	8	17	37.216	15.081	0	4.93	0.52	0
1693	10	12	0	43.351	12.577	0	4.16	0.46	0
1693	10	15	0	43.282	12.635	0	4.85	0.65	0
1694	1	0	0	43.351	12.577	0	4.63	0.46	0
1694	4	8	0	43.62	12.091	0	5.40	0.30	1
1694	5	16	0	37.558	15.127	0	4.40	0.46	0
1694	9	8	11	40.862	15.406	0	6.73	0.10	1
1694	10	7	15	40.669	14.453	0	4.71	0.32	0
1694	10	9	0	40.914	14.793	0	4.40	0.46	0
1695	2	25	5	45.861	11.91	0	6.40	0.10	1
1695	2	28	0	44.835	11.62	0	4.40	0.46	0
1695	6	11	2	42.613	12.11	0	5.80	0.15	1
1695	9	11	0	46.88	9.67	0	5.00	1.00	0
1696	4	20	12	36.858	14.761	0	4.40	0.46	0
1697	2	1	20	39.019	16.337	0	4.40	0.46	0
1697	6	18	0	43.67	11.09	0	4.40	0.46	0
1697	9	20	15	43.318	11.332	0	4.40	0.46	0
1697	9	20	16	43.318	11.332	0	4.86	0.46	0
1697	9	30	12	43.318	11.332	0	4.86	0.46	0
1697	10	1	0	43.318	11.332	0	4.63	0.46	0
1697	10	28	1	43.318	11.332	0	4.63	0.46	0
1697	12	20	19	43.318	11.332	0	4.63	0.46	0
1698	1	1	0	37.292	14.789	0	5.66	0.35	0
1698	12	0	0	43.619	13.513	0	4.63	0.46	0
1699	0	0	0	41.527	13.837	0	3.46	0.46	0
1699	5	7	0	42.416	12.107	0	3.70	0.46	0
1699	5	9	0	42.388	12.177	0	4.40	0.46	0
1700	2	5	0	42.871	11.668	0	4.86	0.46	0
1700	7	28	0	46.433	12.868	0	5.70	0.48	1
1702	3	14	4	41.131	14.778	0	4.86	0.46	0
1702	3	14	5	41.12	14.989	0	6.56	0.11	1
1702	4	2	6	41.131	14.778	0	4.86	0.46	0
1702	4	6	16	41.131	14.778	0	4.86	0.46	0
1702	10	18	0	42.755	13.053	0	4.16	0.46	0
1702	11	14	0	42.837	12.858	0	4.40	0.46	0
1703	1	14	18	42.708	13.071	0	6.92	0.10	1
1703	2	2	11	42.434	13.292	0	6.67	0.11	1
1703	6	29	18	42.749	12.948	0	4.40	0.46	0
1703	9	16	17	44.288	11.881	0	4.63	0.46	0
1703	11	23	13	46.08	14.5	0	4.63	0.46	0
1703	12	21	21	44.542	8.529	0	3.70	0.46	0
1704	5	13	12	44.298	8.574	0	4.16	0.46	0
1704	5	14	0	44.363	8.689	0	4.16	0.46	0
1704	5	20	0	42.793	13.094	0	4.16	0.46	0
1705	4	14	19	43.318	11.332	0	3.70	0.46	0
1706	3	19	0	38.203	15.641	0	4.76	0.54	0
1706	3	28	0	47.27	11.39	0	4.63	0.46	0
1706	11	3	13	42.076	14.08	0	6.84	0.10	1
1706	12	2	0	47.28	11.51	0	4.86	0.46	0
1707	3	24	0	42.699	12.617	0	5.21	0.35	1
1708	1	26	0	39.93	16.105	0	5.56	0.46	0
1708	3	3	0	39.941	15.804	0	4.86	0.46	0
1708	4	15	3	40.059	15.742	0	4.16	0.46	0
1710	12	13	21	40.412	17.707	0	4.16	0.46	0
1711	1	7	0	38.108	15.647	0	4.16	0.46	0
1711	2	21	0	38.147	15.601	0	4.16	0.46	0
1711	3	14	0	38.147	15.601	0	4.16	0.46	0
1711	3	30	3	41.491	13.814	0	4.16	0.46	0
1711	5	21	0	45.548	11.546	0	3.70	0.46	0
1712	3	28	0	43.513	12.734	0	4.86	0.46	0
1712	5	8	0	41.561	14.66	0	4.86	0.46	0
1712	7	16	0	38.202	16.064	0	4.40	0.46	0
1712	8	11	0	46.25	7.01	0	3.20	1.00	0
1713	1	3	0	40.589	17.113	0	4.40	0.46	0
1714	0	0	0	42.517	12.521	0	5.33	0.46	1
1714	8	0	0	40.68	14.76	0	4.40	0.46	0
1715	2	21	0	38.271	16.154	0	4.40	0.46	0
1715	3	0	0	38.204	15.398	0	4.63	0.46	0
1716	2	3	0	46.08	13.62	0	5.10	0.46	1
1716	10	4	0	42.718	13.013	0	4.86	0.46	0
1716	12	1	0	37.502	15.087	0	4.63	0.46	0
1717	3	31	0	43.91	12.91	0	4.16	0.46	0
1717	4	4	0	36.95	14.532	0	4.86	0.46	0
1717	4	22	0	38.099	15.211	0	4.91	0.34	0
1718	2	20	0	37.599	14.619	0	5.25	0.43	1
1718	7	14	0	41.491	13.814	0	4.16	0.46	0
1718	8	18	0	43.3	13.453	0	4.40	0.46	0
1719	1	7	0	46.123	11.991	0	4.94	0.40	0
1719	6	27	6	42.876	13.047	0	5.59	0.26	1
1719	12	12	19	45.803	10.671	0	4.16	0.46	0
1720	1	10	0	44.037	10.142	0	3.93	0.46	0
1720	6	7	0	41.262	15.92	0	5.22	0.43	0
1720	8	28	0	41.491	13.814	0	4.35	0.46	0
1720	9	12	0	38.228	15.887	0	4.40	0.46	0
1721	1	12	0	45.3	14.4	0	6.50	0.46	1
1721	6	18	0	43.052	12.855	0	5.10	0.46	1
1722	9	0	0	40.667	16.611	0	4.16	0.46	0
1723	6	0	0	41.288	13.983	0	4.40	0.46	0
1723	9	19	0	41.491	13.814	0	4.40	0.46	0
1724	8	3	0	38.178	15.686	0	4.99	0.57	0
1724	12	11	20	43.206	11.008	0	5.10	0.46	1
1725	4	17	13	43.564	12.487	0	4.80	0.47	0
1725	4	18	13	43.457	12.239	0	4.16	0.46	0
1725	10	29	17	44.207	11.573	0	5.67	0.28	1
1726	1	28	21	44.359	11.63	0	4.86	0.46	0
1726	4	19	22	43.242	11.51	0	5.33	0.46	1
1726	9	1	21	38.115	13.362	0	5.48	0.63	1
1726	9	23	0	43.309	12.546	0	4.85	0.38	0
1727	1	7	0	36.915	15.046	0	4.64	0.26	0
1727	3	9	11	44.057	11.367	0	4.93	0.52	0
1727	5	8	5	37.508	13.083	0	4.64	0.27	0
1727	8	18	0	47.27	11.39	0	4.86	0.46	0
1727	12	14	19	43.61	12.819	0	5.24	0.26	1
1728	2	4	3	44.398	11.59	0	4.40	0.46	0
1728	2	8	0	41.294	13.983	0	4.86	0.46	0
1728	5	0	0	38.974	16.318	0	4.40	0.46	0
1729	1	13	21	46.63	7.63	0	5.20	0.50	1
1729	6	23	0	43.773	11.486	0	4.63	0.46	0
1729	6	29	13	38.154	15.139	0	4.86	0.46	0
1730	3	29	0	43.877	10.272	0	3.70	0.46	0
1730	5	12	5	42.753	13.12	0	6.04	0.10	1
1730	10	23	0	43.282	12.619	0	4.86	0.46	0
1731	3	20	3	41.274	15.757	0	6.33	0.13	1
1731	3	29	0	43.67	12.041	0	4.76	0.27	0
1731	4	26	0	41.489	13.822	0	4.56	0.34	0
1731	5	10	5	41.3	16.349	0	4.40	0.46	0
1731	10	17	11	41.317	15.947	0	4.86	0.46	0
1731	12	9	0	43.933	10.915	0	3.70	0.46	0
1731	12	23	0	43.933	10.915	0	3.70	0.46	0
1732	2	4	18	44.871	10.468	0	4.65	0.35	0
1732	3	28	0	38.169	15.335	0	4.16	0.46	0
1732	5	21	0	43.551	10.309	0	3.93	0.46	0
1732	8	9	0	44.288	11.878	0	4.63	0.46	0
1732	11	29	7	41.064	15.059	0	6.75	0.10	1
1733	7	16	4	41.023	14.785	0	4.16	0.46	0
1733	10	19	3	43.666	13.368	0	3.93	0.46	0
1733	10	20	0	43.619	13.513	0	4.40	0.46	0
1735	1	26	0	41.038	14.387	0	4.16	0.46	0
1735	9	6	0	38.678	16.129	0	4.82	0.65	0
1736	4	23	0	45.25	6.3	0	4.40	0.46	0
1736	8	16	0	37.897	13.562	0	4.86	0.46	0
1737	3	31	17	40.92	14.661	0	5.10	0.46	0
1737	6	11	0	43.563	11.166	0	4.16	0.46	0
1737	11	11	0	37.073	15.286	0	4.40	0.46	0
1738	5	23	0	38.903	16.171	0	5.10	0.46	0
1738	7	19	1	42.626	12.095	0	4.86	0.46	0
1738	11	5	0	44.906	10.028	0	5.10	0.46	1
1739	2	12	21	41.462	15.545	0	4.40	0.46	0
1739	2	27	4	41.131	14.778	0	4.40	0.46	0
1739	3	6	2	38.736	16.559	0	3.93	0.46	0
1739	5	10	15	38.098	14.744	0	5.41	0.38	1
1739	6	5	0	37.832	14.891	0	3.47	0.33	0
1739	7	31	11	44.494	11.343	0	4.40	0.46	0
1740	2	24	13	38.905	16.594	0	3.70	0.46	0
1740	3	6	5	44.074	10.489	0	5.64	0.23	1
1740	3	26	17	38.905	16.594	0	3.70	0.46	0
1740	3	30	17	38.736	16.559	0	4.63	0.46	0
1740	6	0	0	42.893	12.652	0	3.93	0.46	0
1740	6	13	0	37.582	12.84	0	4.86	0.46	0
1740	7	13	0	43.313	12.761	0	4.63	0.46	0
1741	4	24	9	43.425	13.005	0	6.17	0.10	1
1741	8	6	13	41.049	14.97	0	5.44	0.27	0
1741	10	1	0	43.318	11.332	0	5.10	0.46	1
1742	0	0	0	42.084	13.546	0	4.40	0.46	0
1742	1	27	11	43.551	10.309	0	4.87	0.28	0
1742	3	16	2	42.042	14.188	0	4.63	0.46	0
1742	4	0	0	42.084	13.546	0	4.16	0.46	0
1742	5	0	0	42.084	13.546	0	4.16	0.46	0
1742	6	10	1	43.434	12.858	0	4.40	0.46	0
1742	8	17	0	40.849	14.25	0	3.25	0.50	0
1743	0	0	0	42.046	13.454	0	4.40	0.46	0
1743	1	21	21	42.614	12.074	0	5.01	0.31	1
1743	2	20	0	39.847	18.774	0	6.68	0.12	1
1743	5	29	0	44.835	11.62	0	4.86	0.46	0
1743	10	2	0	39.132	16.081	0	5.10	0.46	0
1743	12	7	7	38.704	16.354	0	5.88	0.20	0
1744	0	0	0	44.245	10.952	0	4.86	0.46	0
1744	3	21	20	39.04	16.781	0	5.74	0.27	0
1744	5	25	0	43.82	13.05	0	4.59	0.43	0
1745	3	0	0	42.736	12.737	0	5.10	0.46	1
1745	10	18	0	41.483	13.8	0	4.63	0.46	0
1746	7	23	18	44.091	10.448	0	5.15	0.32	1
1746	10	8	0	46.037	13.38	0	4.40	0.46	0
1747	1	26	0	43.23	12.785	0	4.40	0.46	0
1747	4	17	0	43.204	12.769	0	6.05	0.12	1
1747	9	0	0	38.108	15.647	0	4.63	0.46	0
1747	9	22	0	43.255	12.826	0	5.42	0.32	1
1748	7	25	0	43.113	12.788	0	4.40	0.46	0
1748	9	10	23	41.826	12.606	0	4.40	0.46	0
1749	8	0	0	38.185	15.555	0	5.80	0.46	1
1750	2	1	0	42.351	13.399	0	4.86	0.46	0
1750	2	8	0	41.86	12.656	0	4.50	0.52	0
1750	12	17	0	45.387	14.411	0	4.86	0.46	0
1751	6	11	0	42.595	12.593	0	5.12	0.54	1
1751	7	13	15	38.115	13.362	0	4.86	0.46	0
1751	7	27	1	43.225	12.739	0	6.38	0.10	1
1751	7	28	16	38.115	13.362	0	4.86	0.46	0
1751	8	2	0	38.115	13.362	0	4.86	0.46	0
1751	9	1	0	38.115	13.362	0	4.16	0.46	0
1751	10	3	0	43.135	13.068	0	4.40	0.46	0
1751	11	21	0	44.419	8.898	0	3.70	0.46	0
1752	1	2	0	42.623	12.778	0	4.86	0.46	0
1752	2	16	4	43.7	7.267	0	3.70	0.46	0
1752	7	13	21	43.305	12.798	0	4.61	0.29	0
1752	8	0	0	43.457	12.239	0	3.70	0.46	0
1753	3	9	13	44.941	7.181	0	5.16	0.31	1
1753	4	22	0	43.983	11.92	0	4.86	0.46	0
1753	5	26	0	42.613	12.547	0	4.80	0.38	0
1754	6	8	5	41.778	12.764	0	4.47	0.48	0
1754	9	19	0	46.24	7.19	0	3.90	1.00	0
1755	8	28	0	45.959	12.658	0	3.70	0.46	0
1755	11	1	17	42.742	11.868	0	4.40	0.46	0
1755	12	9	13	46.32	7.98	0	5.70	0.50	1
1755	12	21	3	46.29	8.06	0	3.90	1.00	0
1756	2	2	0	41.498	13.06	0	4.40	0.46	0
1756	2	26	0	45.893	11.82	0	3.70	0.46	0
1756	4	13	0	45.666	12.245	0	4.86	0.46	0
1756	10	6	20	43.899	12.84	0	3.93	0.46	0
1756	10	22	14	40.756	14.338	0	3.50	0.50	0
1756	10	22	0	41.63	15.917	0	4.40	0.46	0
1757	8	6	0	37.073	15.286	0	4.16	0.46	0
1759	8	0	0	41.884	13.097	0	4.40	0.46	0
1759	3	18	0	43.933	10.915	0	4.16	0.46	0
1759	5	20	0	40.421	15.735	0	4.16	0.46	0
1759	5	26	22	44.893	8.648	0	4.16	0.46	0
1759	6	14	0	42.612	12.133	0	4.16	0.46	0
1759	10	5	1	41.491	13.814	0	3.93	0.46	0
1760	1	12	0	43.059	13.311	0	4.40	0.46	0
1760	12	23	0	40.801	14.404	0	3.50	0.50	0
1761	4	5	14	41.491	13.814	0	4.40	0.46	0
1761	5	3	8	38.905	16.594	0	5.10	0.46	0
1761	6	10	0	43.946	11.909	0	3.70	0.46	0
1761	6	20	22	43.834	11.96	0	4.63	0.46	0
1762	4	15	18	44.004	11.506	0	5.14	0.41	1
1762	4	18	11	46.512	12.992	0	3.70	0.46	0
1762	7	23	0	40.746	13.909	0	3.50	0.50	0
1762	10	6	0	42.308	13.585	0	5.54	0.42	1
1765	5	12	0	41.405	13.983	0	4.86	0.46	0
1766	1	0	0	41.918	13.11	0	4.86	0.46	0
1766	5	6	0	43.541	10.942	0	3.70	0.46	0
1766	12	24	12	42.874	12.899	0	4.63	0.46	0
1767	0	0	0	40.735	13.919	0	3.50	0.50	0
1767	1	21	7	44.138	10.133	0	5.27	0.47	1
1767	1	21	9	44.238	10.124	0	4.60	0.48	0
1767	2	7	3	44.548	8.681	0	4.98	0.33	0
1767	5	10	0	46.512	12.992	0	3.70	0.46	0
1767	5	26	18	45.272	7.502	0	5.10	0.46	1
1767	6	5	1	42.821	12.751	0	5.45	0.36	1
1767	7	14	1	39.375	16.279	0	5.89	0.23	0
1767	9	2	0	42.736	12.737	0	4.40	0.46	0
1768	10	19	23	43.943	11.904	0	5.99	0.12	1
1768	11	30	11	43.565	10.946	0	4.16	0.46	0
1770	3	20	15	46.48	7.18	0	5.20	0.50	1
1770	6	8	0	38.108	15.647	0	4.40	0.46	0
1770	10	7	0	46.512	12.992	0	3.70	0.46	0
1770	12	27	4	43.701	11.409	0	4.86	0.46	0
1771	1	0	0	41.718	13.613	0	5.10	0.46	1
1771	1	8	3	43.551	10.309	0	4.40	0.46	0
1771	7	27	22	43.946	11.318	0	4.16	0.46	0
1771	7	27	23	44.119	11.379	0	4.16	0.46	0
1771	7	29	0	44.119	11.379	0	4.16	0.46	0
1771	8	13	8	44.141	11.161	0	4.63	0.46	0
1771	8	15	8	45.606	9.722	0	4.16	0.46	0
1771	8	17	18	39.213	8.936	0	4.43	0.60	0
1772	10	12	0	43.57	12.141	0	4.63	0.46	0
1773	3	0	0	41.839	12.831	0	4.86	0.46	0
1773	6	22	6	41.72	12.671	0	4.16	0.46	0
1773	12	31	1	44.659	6.633	0	4.63	0.46	0
1774	1	31	19	43.61	12.128	0	4.63	0.46	0
1774	3	4	0	44.801	10.33	0	4.16	0.46	0
1774	3	31	14	45.552	10.111	0	4.40	0.46	0
1774	5	15	0	42.831	11.586	0	4.63	0.46	0
1775	1	4	18	44.647	10.926	0	4.43	0.47	0
1775	1	5	22	44.238	10.124	0	4.55	0.52	0
1775	8	26	0	46.512	12.992	0	3.70	0.46	0
1775	10	6	7	42.167	8.8	0	4.40	0.46	0
1775	10	22	2	42.175	8.809	0	5.10	0.46	1
1776	4	24	16	45.3	14.58	0	5.10	0.46	1
1776	7	10	0	46.233	12.706	0	5.82	0.26	1
1777	8	19	8	41.697	13.537	0	4.40	0.46	0
1777	10	5	15	42.88	11.757	0	5.14	0.42	1
1778	1	4	16	43.619	13.513	0	4.63	0.46	0
1778	1	24	7	42.153	13.534	0	4.86	0.46	0
1778	2	18	2	44.175	10.182	0	3.93	0.46	0
1778	4	21	0	46.512	12.992	0	3.93	0.46	0
1778	6	11	0	44.222	12.04	0	4.40	0.46	0
1778	8	3	0	43.57	12.141	0	4.63	0.46	0
1779	6	4	7	44.443	11.479	0	5.22	0.43	1
1779	6	26	12	43.318	11.332	0	4.16	0.46	0
1779	8	8	8	40.819	14.342	0	3.50	0.50	0
1779	8	20	10	44.459	11.39	0	4.16	0.46	0
1779	10	1	0	40.736	14.447	0	3.37	0.50	0
1779	11	23	18	44.424	11.529	0	4.70	0.26	0
1779	12	12	0	40.814	14.343	0	3.37	0.50	0
1779	12	24	17	44.061	10.86	0	4.59	0.33	0
1779	12	31	16	44.03	10.821	0	4.16	0.46	0
1780	2	6	4	44.567	11.31	0	5.06	0.49	1
1780	3	28	0	37.866	15.316	0	5.52	0.42	1
1780	4	9	0	38.185	15.555	0	4.86	0.46	0
1780	5	25	0	44.418	12.197	0	4.40	0.46	0
1780	8	1	0	44.897	8.864	0	4.16	0.46	0
1780	8	4	0	44.897	8.864	0	4.16	0.46	0
1780	9	8	17	46.512	12.992	0	3.70	0.46	0
1780	9	14	0	38.081	14.982	0	5.33	0.46	1
1780	9	22	13	41.964	12.798	0	3.93	0.46	0
1781	1	3	2	43.171	11.537	0	5.19	0.28	1
1781	1	6	15	43.058	11.606	0	4.16	0.46	0
1781	1	11	0	43.287	11.746	0	4.86	0.46	0
1781	1	11	1	40.892	12.965	0	4.16	0.46	0
1781	2	25	2	41.72	12.671	0	4.16	0.46	0
1781	4	4	21	44.251	11.798	0	6.12	0.12	1
1781	4	13	8	40.892	12.965	0	4.16	0.46	0
1781	6	3	0	43.596	12.512	0	6.51	0.10	1
1781	7	17	9	44.268	11.987	0	5.61	0.17	1
1781	9	10	11	45.501	9.589	0	4.93	0.46	0
1781	12	23	17	46.512	12.992	0	3.70	0.46	0
1782	1	11	0	41.131	14.778	0	4.16	0.46	0
1782	4	11	20	46.512	12.992	0	3.70	0.46	0
1782	9	24	0	41.815	12.716	0	4.63	0.46	0
1782	12	10	0	46.512	12.992	0	3.70	0.46	0
1783	2	5	12	38.297	15.97	0	7.10	0.10	1
1783	2	7	13	38.58	16.201	0	6.74	0.10	1
1783	3	28	18	38.785	16.464	0	7.03	0.10	1
1783	4	26	2	38.204	15.398	0	4.40	0.46	0
1783	6	29	0	43.774	11.716	0	4.40	0.46	0
1783	7	28	0	45.879	10.808	0	4.63	0.46	0
1783	11	15	0	41.689	15.292	0	4.86	0.46	0
1783	11	20	11	38.673	16.103	0	4.16	0.46	0
1784	3	20	13	38.673	16.103	0	3.23	0.46	0
1784	3	24	0	46.08	14.5	0	4.86	0.46	0
1784	3	30	11	44.776	9.183	0	4.16	0.46	0
1784	4	6	23	41.756	12.685	0	4.40	0.45	0
1784	10	14	0	38.293	16.21	0	5.10	0.46	0
1785	3	17	3	38.185	15.555	0	4.86	0.46	0
1785	4	13	7	38.673	16.103	0	3.70	0.46	0
1785	4	29	10	44.659	6.625	0	4.40	0.46	0
1785	5	3	2	43.073	12.955	0	5.10	0.46	1
1785	7	19	22	45.978	11.079	0	3.70	0.46	0
1785	9	12	0	45.02	6.842	0	4.16	0.46	0
1785	10	3	0	41.964	12.798	0	4.50	0.63	0
1785	10	9	3	42.536	12.788	0	5.76	0.18	1
1786	1	15	0	43.351	12.577	0	5.10	0.46	1
1786	1	17	0	43.361	12.553	0	4.44	0.46	0
1786	2	23	7	38.673	16.103	0	4.16	0.46	0
1786	3	10	14	38.102	15.021	0	6.14	0.19	1
1786	4	7	0	45.267	9.55	0	5.22	0.39	1
1786	4	11	9	46.08	14.5	0	4.63	0.46	0
1786	7	31	0	42.351	13.399	0	4.89	0.31	0
1786	11	24	6	44.731	7.909	0	4.29	0.17	0
1786	12	25	1	43.991	12.565	0	5.66	0.13	1
1786	12	28	0	46.512	12.992	0	3.70	0.46	0
1787	4	25	0	46.512	12.992	0	3.70	0.46	0
1787	7	16	10	44.835	11.62	0	4.40	0.46	0
1787	7	26	7	44.835	11.62	0	4.86	0.46	0
1787	8	26	23	47.16	9.81	0	4.70	1.00	0
1787	9	20	4	38.185	15.555	0	4.16	0.46	0
1787	10	20	13	43.318	11.332	0	3.70	0.46	0
1787	10	21	12	43.318	11.332	0	4.16	0.46	0
1787	10	21	23	43.318	11.332	0	4.16	0.46	0
1787	10	23	5	43.318	11.332	0	4.16	0.46	0
1787	12	9	4	46.512	12.992	0	3.70	0.46	0
1787	12	26	0	43.723	11.767	0	4.40	0.46	0
1788	4	18	0	43.837	13.018	0	4.40	0.46	0
1788	10	20	21	46.398	13.019	0	5.19	0.38	1
1789	2	7	0	38.391	15.875	0	5.10	0.46	1
1789	8	4	0	45.938	12.302	0	3.93	0.46	0
1789	9	30	10	43.51	12.217	0	5.89	0.13	1
1790	7	26	0	44.354	9.909	0	5.10	0.46	1
1791	1	0	0	42.351	13.399	0	5.33	0.46	1
1791	10	11	13	42.95	12.861	0	5.57	0.23	1
1791	10	13	1	38.636	16.268	0	6.14	0.11	1
1792	0	0	0	37.643	15.157	0	4.03	0.36	0
1792	4	1	12	39.973	16.087	0	4.40	0.46	0
1792	7	20	0	42.532	12.714	0	5.06	0.32	1
1792	10	20	0	46.512	12.992	0	3.70	0.46	0
1793	4	21	0	43.025	12.811	0	5.33	0.46	1
1793	7	25	0	40.844	13.198	0	4.63	0.46	0
1794	5	12	10	47.27	11.39	0	4.63	0.46	0
1794	6	7	0	46.306	12.821	0	5.96	0.21	1
1794	6	12	22	41.108	14.924	0	5.26	0.37	1
1794	6	15	0	40.786	14.367	0	2.87	0.50	0
1794	6	30	4	46.297	12.795	0	5.40	0.32	1
1795	1	1	2	46.512	12.992	0	4.16	0.46	0
1795	2	14	19	43.318	11.332	0	3.70	0.46	0
1795	6	19	23	43.182	13.443	0	4.70	0.44	0
1795	8	15	0	41.918	12.871	0	4.63	0.46	0
1796	2	5	2	43.534	11.873	0	4.96	0.52	0
1796	3	18	16	40.746	13.909	0	3.88	0.50	0
1796	10	22	4	44.614	11.67	0	5.45	0.30	1
1797	10	30	5	46.512	12.992	0	3.70	0.46	0
1798	5	26	0	43.343	11.417	0	4.85	0.34	0
1798	9	8	16	43.077	11.651	0	4.86	0.46	0
1799	2	22	5	44.771	10.779	0	4.16	0.46	0
1799	5	29	19	45.404	10.27	0	5.04	0.51	1
1799	7	28	22	43.193	13.151	0	6.18	0.10	1
1799	9	9	10	42.955	12.704	0	5.10	0.46	1
1799	10	26	4	46.512	12.992	0	3.70	0.46	0
1800	12	29	10	41.688	12.778	0	4.74	0.63	0
1801	7	18	18	46.512	12.992	0	3.70	0.46	0
1801	10	8	7	44.466	11.421	0	4.90	0.64	0
1802	5	12	9	45.424	9.839	0	5.60	0.14	1
1802	8	10	1	43.541	10.774	0	4.16	0.46	0
1802	10	30	18	43.085	11.535	0	5.15	0.47	1
1803	3	1	16	46.512	12.992	0	3.70	0.46	0
1803	4	7	0	42.505	13.551	0	3.93	0.46	0
1804	0	0	0	43.605	11.111	0	4.86	0.46	0
1804	5	22	19	42.529	13.646	0	5.42	0.29	1
1804	7	28	23	42.796	12.728	0	4.95	0.48	0
1804	10	2	21	43.489	11.147	0	4.18	0.29	0
1804	10	6	10	43.318	11.332	0	3.70	0.46	0
1804	10	18	20	43.453	11.105	0	5.10	0.46	1
1804	12	17	0	43.419	11.162	0	4.84	0.65	0
1805	5	9	1	43.459	13.483	0	4.40	0.46	0
1805	7	11	0	37.718	15.15	0	4.59	0.38	0
1805	7	26	21	41.5	14.474	0	6.68	0.10	1
1805	10	13	22	41.002	14.393	0	5.10	0.46	1
1805	11	30	5	46.57	9.78	0	3.20	1.00	0
1806	2	12	0	44.862	10.671	0	5.21	0.26	1
1806	3	31	0	43.844	7.749	0	4.62	0.63	0
1806	6	20	23	43.7	7.267	0	4.63	0.46	0
1806	7	21	9	41.491	13.814	0	4.40	0.46	0
1806	8	26	7	41.718	12.725	0	5.61	0.27	1
1807	1	28	17	41.592	14.228	0	4.40	0.46	0
1807	9	5	1	43.948	7.945	0	4.81	0.36	0
1807	11	11	0	40.3	15.84	0	4.87	0.63	0
1807	12	19	1	45.552	7.97	0	4.16	0.46	0
1808	4	2	16	44.838	7.248	0	5.64	0.10	1
1808	4	2	20	44.823	7.261	0	5.02	0.58	1
1808	4	16	1	44.846	7.316	0	5.34	0.32	1
1808	4	18	3	44.88	7.188	0	5.11	0.38	1
1808	4	20	10	44.814	7.293	0	4.85	0.38	0
1808	10	26	21	43.551	10.309	0	4.63	0.46	0
1809	8	14	11	42.351	13.399	0	4.63	0.46	0
1809	8	25	12	43.3	13.453	0	4.63	0.46	0
1810	5	1	0	45.764	10.809	0	4.63	0.46	0
1810	7	13	13	41.72	12.671	0	4.40	0.46	0
1810	9	30	0	43.608	12.239	0	3.93	0.46	0
1810	12	25	0	44.9	10.719	0	5.06	0.20	1
1811	2	18	2	41.89	12.652	0	3.93	0.46	0
1811	6	6	22	46.867	9.533	0	3.90	1.00	0
1811	7	15	22	44.572	10.728	0	5.13	0.34	1
1811	8	1	19	38.108	15.647	0	4.40	0.46	0
1812	3	22	2	41.899	12.477	0	4.86	0.46	0
1812	9	11	12	43.659	11.14	0	5.24	0.34	1
1812	10	25	7	46.027	12.589	0	5.62	0.25	1
1813	9	21	7	44.25	11.97	0	5.28	0.49	1
1813	9	22	1	46.76	10.19	0	4.60	0.50	0
1814	4	3	0	43.635	10.355	0	5.12	0.45	1
