Year	Mo	Da	Ho	Lat	Lon	H	Mw	MwUnc	McModel2
1399	7	20	23	44.441	10.925	0	5.10	0.46	0
1400	2	29	19	44.494	11.343	0	4.16	0.46	0
1400	3	3	12	44.494	11.343	0	4.16	0.46	0
1401	6	29	9	46.139	12.218	0	4.16	0.46	0
1402	0	0	0	45.439	10.994	0	4.63	0.46	0
1403	1	12	5	46.139	12.218	0	4.63	0.46	0
1403	9	6	0	46.093	13.431	0	5.56	0.46	0
1404	2	1	21	46.139	12.218	0	4.16	0.46	0
1405	6	26	13	46.019	11.906	0	3.93	0.46	0
1406	5	28	21	46.139	12.218	0	3.93	0.46	0
1406	9	16	0	40.849	14.25	0	3.12	0.50	0
1408	1	3	16	44.494	11.343	0	3.70	0.46	0
1409	8	17	0	44.835	11.62	0	4.63	0.46	0
1409	11	15	11	44.801	10.33	0	5.10	0.46	0
1410	5	9	22	44.835	11.62	0	4.86	0.46	0
1411	1	9	2	44.835	11.62	0	5.10	0.46	0
1411	7	1	6	46.139	12.218	0	3.93	0.46	0
1414	0	0	0	41.882	16.18	0	5.80	0.46	0
1414	8	7	0	43.27	11.121	0	5.70	0.38	0
1420	0	0	0	43.318	11.332	0	4.40	0.46	0
1423	11	10	0	42.351	13.399	0	4.16	0.46	0
1424	10	20	0	44.172	11.947	0	4.16	0.46	0
1425	8	10	0	44.835	11.62	0	4.63	0.46	0
1426	0	0	0	43.773	11.257	0	4.40	0.46	0
1428	7	3	5	44.146	12.046	0	5.47	0.37	0
1429	6	26	0	43.318	11.332	0	4.16	0.46	0
1429	11	10	16	38.185	15.555	0	4.86	0.46	0
1430	8	13	0	43.318	11.332	0	4.16	0.46	0
1433	5	4	8	44.494	11.343	0	4.63	0.46	0
1436	3	0	0	43.318	11.332	0	4.86	0.46	0
1438	2	2	12	41.787	12.677	0	5.33	0.46	0
1438	6	11	2	44.844	10.239	0	5.56	0.46	0
1445	3	21	13	45.439	10.994	0	4.40	0.46	0
1448	0	0	0	38.185	15.555	0	4.16	0.46	0
1449	0	0	0	44.885	7.327	0	4.16	0.46	0
1449	10	15	20	43.234	11.56	0	4.63	0.46	0
1450	0	0	0	38.113	14.884	0	4.40	0.46	0
1453	9	28	22	43.783	11.287	0	5.38	0.37	0
1455	12	20	20	44.494	11.343	0	4.40	0.46	0
