Year,Mo,Da,Ho,Mi,Se,LatDef,LonDef,DepDef,MwDef,ErMwDef,MainShock
1904,3,3,18,55,44,42.032,13.426,nan,4.32,0.34,0
1904,3,10,4,21,36,42.092,13.363,nan,4.16,0.46,0
1904,3,20,5,50,4,42.078,13.352,nan,3.93,0.46,0
1904,3,20,7,50,nan,42.064,13.342,nan,4.4,0.46,0
1904,3,29,8,30,nan,42.092,13.363,nan,4.4,0.46,0
1904,11,2,15,32,5,41.932,13.918,nan,4.54,0.3,1
1905,8,25,20,41,nan,42.019,14.026,nan,5.15,0.2,1
1906,1,29,15,5,nan,42.607,13.423,nan,4.28,0.34,1
1906,7,1,0,50,nan,42.384,13.141,nan,4.29,0.27,1
1907,7,10,3,nan,nan,41.889,14.065,nan,3.93,0.46,1
1907,10,7,14,22,nan,41.685,13.655,nan,4.2,0.47,1
1907,12,22,5,59,nan,41.88,14.066,nan,4.16,0.46,1
1908,1,16,10,27,nan,42.338,13.368,nan,4.12,0.4,1
1908,6,5,2,58,nan,41.889,14.065,nan,3.93,0.46,1
1908,10,6,22,nan,nan,41.659,13.752,nan,4.57,0.61,1
1909,3,16,15,53,nan,42.442,13.393,nan,4.03,0.39,1
1910,2,22,15,35,nan,42.092,13.363,nan,4.16,0.46,1
1910,3,6,22,22,nan,42.63,13.105,nan,3.93,0.46,1
1910,6,29,13,52,nan,42.742,12.929,nan,4.93,0.28,1
1910,12,22,12,34,nan,42.708,13.281,nan,4.3,0.41,1
1910,12,22,17,18,nan,42.68,13.184,nan,3.93,0.46,0
1910,12,26,16,30,nan,42.68,13.184,nan,4.56,0.27,1
1911,5,28,13,52,nan,42.376,13.405,nan,4.16,0.46,1
1911,9,9,11,32,nan,42.31,13.57,nan,4.36,0.45,1
1912,7,7,4,45,nan,41.688,13.636,nan,4.18,0.35,1
1913,1,3,13,39,25,41.868,13.657,nan,4.53,0.21,1
1914,4,14,2,49,nan,42.022,13.578,nan,4.26,0.26,1
1915,1,13,6,52,43,42.014,13.53,nan,7.08,0.08,1
1915,1,13,16,44,nan,41.983,13.6,nan,4.79,0.23,0
1915,1,13,20,19,nan,41.983,13.6,nan,4.74,0.23,0
