rlz_id,branch_path,weight
0,br0000~BeA11,8.3819998e-04
1,br0001~BeA11,8.3819998e-04
2,br0002~BeA11,8.3819998e-04
3,br0003~BeA11,8.3819998e-04
4,br0004~BeA11,8.3819998e-04
5,br0005~BeA11,8.3819998e-04
6,br0006~BeA11,8.3819998e-04
7,br0007~BeA11,8.3819998e-04
8,br0008~BeA11,8.3819998e-04
9,br0009~BeA11,8.3819998e-04
10,br0010~BeA11,8.3819998e-04
11,br0011~BeA11,8.3819998e-04
12,br0012~BeA11,8.3819998e-04
13,br0013~BeA11,8.3819998e-04
14,br0014~BeA11,8.3819998e-04
15,br0015~BeA11,8.3819998e-04
16,br0016~BeA11,8.3819998e-04
17,br0017~BeA11,8.3819998e-04
18,br0018~BeA11,8.3819998e-04
19,br0019~BeA11,8.3819998e-04
20,br0020~BeA11,8.3819998e-04
21,br0021~BeA11,8.3819998e-04
22,br0022~BeA11,8.3819998e-04
23,br0023~BeA11,8.3819998e-04
24,br0024~BeA11,8.3819998e-04
25,br0025~BeA11,8.3819998e-04
26,br0026~BeA11,8.3819998e-04
27,br0027~BeA11,8.3819998e-04
28,br0028~BeA11,8.3819998e-04
29,br0029~BeA11,8.3819998e-04
30,br0030~BeA11,8.3819998e-04
31,br0031~BeA11,8.3819998e-04
32,br0032~BeA11,8.3819998e-04
33,br0033~BeA11,8.3819998e-04
34,br0034~BeA11,8.3819998e-04
35,br0035~BeA11,8.3819998e-04
36,br0036~BeA11,8.3819998e-04
37,br0037~BeA11,8.3819998e-04
38,br0038~BeA11,8.3819998e-04
39,br0039~BeA11,8.3819998e-04
40,br0040~BeA11,8.3819998e-04
41,br0041~BeA11,8.3819998e-04
42,br0042~BeA11,8.3819998e-04
43,br0043~BeA11,8.3819998e-04
44,br0044~BeA11,8.3819998e-04
45,br0045~BeA11,8.3819998e-04
46,br0046~BeA11,8.3819998e-04
47,br0047~BeA11,8.3819998e-04
48,br0048~BeA11,8.3819998e-04
49,br0049~BeA11,8.3819998e-04
50,br0050~BeA11,8.3819998e-04
51,br0051~BeA11,8.3819998e-04
52,br0052~BeA11,8.3819998e-04
53,br0053~BeA11,8.3819998e-04
54,br0054~BeA11,8.3819998e-04
55,br0055~BeA11,8.3819998e-04
56,br0056~BeA11,8.3819998e-04
57,br0057~BeA11,8.3819998e-04
58,br0058~BeA11,8.3819998e-04
59,br0059~BeA11,8.3819998e-04
60,br0060~BeA11,8.3819998e-04
61,br0061~BeA11,8.3819998e-04
62,br0062~BeA11,8.3819998e-04
63,br0063~BeA11,8.3819998e-04
64,br0064~BeA11,8.3819998e-04
65,br0065~BeA11,8.3819998e-04
66,br0066~BeA11,8.3819998e-04
67,br0067~BeA11,8.3819998e-04
68,br0068~BeA11,8.3819998e-04
69,br0069~BeA11,8.3819998e-04
70,br0070~BeA11,8.3819998e-04
71,br0071~BeA11,8.3819998e-04
72,br0072~BeA11,8.3819998e-04
73,br0073~BeA11,8.3819998e-04
74,br0074~BeA11,8.3819998e-04
75,br0075~BeA11,8.3819998e-04
76,br0076~BeA11,8.3819998e-04
77,br0077~BeA11,8.3819998e-04
78,br0078~BeA11,8.3819998e-04
79,br0079~BeA11,8.3819998e-04
80,br0080~BeA11,8.3819998e-04
81,br0081~BeA11,8.3819998e-04
