asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,9.99999E-01,2.68652E-07,8.44851E-08,8.81881E-08,6.34630E-08,1.70620E-08
206,"post1981rota",12.80194,42.52722,1.00000E+00,7.37494E-08,7.53974E-09,6.94238E-09,5.37473E-09,1.25303E-09
33,"pre1919rota",12.83333,42.52778,9.99999E-01,3.48435E-07,1.10442E-07,1.16132E-07,8.47567E-08,2.34767E-08
211,"post1981rota",12.83333,42.52778,1.00000E+00,9.69406E-08,1.00104E-08,9.26290E-09,7.23732E-09,1.71977E-09
6,"pre1919rota",12.84333,42.58611,1.00000E+00,2.59099E-07,8.13122E-08,8.47095E-08,6.07267E-08,1.61915E-08
184,"post1981rota",12.84333,42.58611,1.00000E+00,7.08736E-08,7.22628E-09,6.64484E-09,5.13149E-09,1.19002E-09
41,"pre1919rota",12.85722,42.51583,9.99999E-01,4.56825E-07,1.45961E-07,1.54627E-07,1.14473E-07,3.26954E-08
219,"post1981rota",12.85722,42.51583,1.00000E+00,1.28883E-07,1.34468E-08,1.25063E-08,9.86498E-09,2.39169E-09
40,"pre1919rota",12.86306,42.40500,9.99999E-01,7.46605E-07,2.43476E-07,2.62939E-07,2.02014E-07,6.25136E-08
218,"post1981rota",12.86306,42.40500,1.00000E+00,2.18794E-07,2.34541E-08,2.21098E-08,1.78856E-08,4.57269E-09
38,"pre1919rota",12.88917,42.50306,9.99999E-01,6.48011E-07,2.09605E-07,2.24617E-07,1.70008E-07,5.09404E-08
216,"post1981rota",12.88917,42.50306,1.00000E+00,1.86962E-07,1.98236E-08,1.85857E-08,1.48824E-08,3.72476E-09
19,"pre1919rota",12.90500,42.46861,9.99998E-01,8.99263E-07,2.94647E-07,3.19562E-07,2.47457E-07,7.78238E-08
197,"post1981rota",12.90500,42.46861,1.00000E+00,2.65788E-07,2.86604E-08,2.70953E-08,2.20349E-08,5.69555E-09
42,"pre1919rota",12.92778,42.27722,9.99998E-01,1.15295E-06,3.84151E-07,4.23341E-07,3.38197E-07,1.13968E-07
220,"post1981rota",12.92778,42.27722,1.00000E+00,3.52662E-07,3.89282E-08,3.72387E-08,3.09639E-08,8.39227E-09
4,"pre1919rota",12.93444,42.71194,1.00000E+00,1.94722E-07,6.08185E-08,6.30678E-08,4.47942E-08,1.16911E-08
