asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,9.99999E-01,6.32236E-07,1.87309E-07,1.85023E-07,1.19913E-07,2.59713E-08
206,"post1981rota",12.80194,42.52722,1.00000E+00,1.58757E-07,1.51090E-08,1.34352E-08,9.75324E-09,1.99195E-09
33,"pre1919rota",12.83333,42.52778,9.99999E-01,7.24460E-07,2.15188E-07,2.13062E-07,1.38691E-07,3.03065E-08
211,"post1981rota",12.83333,42.52778,1.00000E+00,1.82530E-07,1.74227E-08,1.55144E-08,1.12918E-08,2.31840E-09
6,"pre1919rota",12.84333,42.58611,9.99999E-01,4.31646E-07,1.27036E-07,1.24756E-07,8.00084E-08,1.69883E-08
184,"post1981rota",12.84333,42.58611,1.00000E+00,1.07522E-07,1.01602E-08,9.00456E-09,6.49798E-09,1.31171E-09
41,"pre1919rota",12.85722,42.51583,9.99998E-01,9.03166E-07,2.69713E-07,2.68369E-07,1.76332E-07,3.92856E-08
219,"post1981rota",12.85722,42.51583,1.00000E+00,2.29219E-07,2.20163E-08,1.96645E-08,1.43927E-08,2.98944E-09
40,"pre1919rota",12.86306,42.40500,9.99995E-01,2.66751E-06,8.15302E-07,8.28716E-07,5.66861E-07,1.37163E-07
218,"post1981rota",12.86306,42.40500,9.99999E-01,6.99744E-07,6.90697E-08,6.25132E-08,4.68825E-08,1.02372E-08
38,"pre1919rota",12.88917,42.50306,9.99998E-01,1.17084E-06,3.51472E-07,3.51375E-07,2.32909E-07,5.28155E-08
216,"post1981rota",12.88917,42.50306,1.00000E+00,2.99243E-07,2.89134E-08,2.58986E-08,1.90546E-08,3.99986E-09
19,"pre1919rota",12.90500,42.46861,9.99997E-01,1.76326E-06,5.33951E-07,5.38087E-07,3.62071E-07,8.46483E-08
197,"post1981rota",12.90500,42.46861,9.99999E-01,4.56212E-07,4.45305E-08,4.00835E-08,2.97578E-08,6.36236E-09
42,"pre1919rota",12.92778,42.27722,9.99975E-01,1.28893E-05,4.10651E-06,4.33886E-06,3.19640E-06,9.04727E-07
220,"post1981rota",12.92778,42.27722,9.99995E-01,3.61898E-06,3.76290E-07,3.49406E-07,2.74822E-07,6.62785E-08
4,"pre1919rota",12.93444,42.71194,1.00000E+00,1.61898E-07,4.68125E-08,4.52543E-08,2.81972E-08,5.65695E-09
182,"post1981rota",12.93444,42.71194,1.00000E+00,3.94907E-08,3.66037E-09,3.21454E-09,2.28171E-09,4.45595E-10
22,"pre1919rota",12.94889,42.38778,9.99991E-01,4.88504E-06,1.51512E-06,1.56115E-06,1.09592E-06,2.79928E-07
200,"post1981rota",12.94889,42.38778,9.99998E-01,1.31087E-06,1.31729E-07,1.20273E-07,9.16751E-08,2.07019E-08
2,"pre1919rota",12.95417,42.65361,9.99999E-01,3.15122E-07,9.22384E-08,9.01441E-08,5.73003E-08,1.19578E-08
180,"post1981rota",12.95417,42.65361,1.00000E+00,7.79786E-08,7.32482E-09,6.47340E-09,4.64770E-09,9.28738E-10
29,"pre1919rota",12.96472,42.56500,9.99999E-01,8.16657E-07,2.43381E-07,2.41717E-07,1.58263E-07,3.50074E-08
207,"post1981rota",12.96472,42.56500,1.00000E+00,2.06692E-07,1.98059E-08,1.76700E-08,1.29059E-08,2.66914E-09
20,"pre1919rota",12.96500,42.21583,9.99941E-01,2.90010E-05,9.50606E-06,1.03144E-05,7.99500E-06,2.52255E-06
