asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,9.99998E-01,1.06795E-06,3.75646E-07,4.34595E-07,3.78860E-07,1.50524E-07
206,"post1981rota",12.80194,42.52722,1.00000E+00,3.64090E-07,4.29349E-08,4.23793E-08,3.72639E-08,1.12451E-08
33,"pre1919rota",12.83333,42.52778,9.99997E-01,1.14010E-06,4.03336E-07,4.69110E-07,4.13014E-07,1.67533E-07
211,"post1981rota",12.83333,42.52778,9.99999E-01,3.93855E-07,4.68071E-08,4.63780E-08,4.10670E-08,1.25721E-08
6,"pre1919rota",12.84333,42.58611,9.99998E-01,1.00340E-06,3.51088E-07,4.04207E-07,3.49151E-07,1.36020E-07
184,"post1981rota",12.84333,42.58611,1.00000E+00,3.37984E-07,3.95697E-08,3.89182E-08,3.39947E-08,1.01179E-08
41,"pre1919rota",12.85722,42.51583,9.99997E-01,1.23410E-06,4.39799E-07,5.14967E-07,4.59062E-07,1.91051E-07
219,"post1981rota",12.85722,42.51583,9.99999E-01,4.33607E-07,5.20370E-08,5.18065E-08,4.62751E-08,1.44179E-08
40,"pre1919rota",12.86306,42.40500,9.99996E-01,1.58736E-06,5.80797E-07,6.96640E-07,6.49148E-07,2.96179E-07
218,"post1981rota",12.86306,42.40500,9.99999E-01,5.94141E-07,7.38646E-08,7.48172E-08,6.89690E-08,2.29127E-08
38,"pre1919rota",12.88917,42.50306,9.99997E-01,1.36159E-06,4.89955E-07,5.78807E-07,5.24488E-07,2.25792E-07
216,"post1981rota",12.88917,42.50306,9.99999E-01,4.89446E-07,5.95036E-08,5.96157E-08,5.38685E-08,1.71801E-08
19,"pre1919rota",12.90500,42.46861,9.99996E-01,1.53093E-06,5.57845E-07,6.66596E-07,6.16870E-07,2.77378E-07
197,"post1981rota",12.90500,42.46861,9.99999E-01,5.67213E-07,7.01241E-08,7.08340E-08,6.49694E-08,2.13608E-08
42,"pre1919rota",12.92778,42.27722,9.99994E-01,2.22011E-06,8.50571E-07,1.06352E-06,1.06839E-06,5.69052E-07
220,"post1981rota",12.92778,42.27722,9.99999E-01,9.35116E-07,1.23554E-07,1.28904E-07,1.25377E-07,4.64269E-08
4,"pre1919rota",12.93444,42.71194,9.99998E-01,8.44575E-07,2.91554E-07,3.31508E-07,2.79760E-07,1.03827E-07
182,"post1981rota",12.93444,42.71194,1.00000E+00,2.76133E-07,3.17508E-08,3.09530E-08,2.66013E-08,7.65866E-09
22,"pre1919rota",12.94889,42.38778,9.99995E-01,2.01412E-06,7.60107E-07,9.37612E-07,9.19226E-07,4.65458E-07
200,"post1981rota",12.94889,42.38778,9.99999E-01,8.15221E-07,1.05586E-07,1.09094E-07,1.04255E-07,3.72385E-08
2,"pre1919rota",12.95417,42.65361,9.99998E-01,1.03414E-06,3.62759E-07,4.18621E-07,3.63201E-07,1.42844E-07
180,"post1981rota",12.95417,42.65361,1.00000E+00,3.50356E-07,4.11608E-08,4.05530E-08,3.55361E-08,1.06477E-08
29,"pre1919rota",12.96472,42.56500,9.99997E-01,1.34640E-06,4.83935E-07,5.71099E-07,5.16514E-07,2.21492E-07
207,"post1981rota",12.96472,42.56500,9.99999E-01,4.82680E-07,5.85923E-08,5.86596E-08,5.29339E-08,1.68371E-08
20,"pre1919rota",12.96500,42.21583,9.99993E-01,2.50738E-06,9.81669E-07,1.25145E-06,1.30137E-06,7.43901E-07
198,"post1981rota",12.96500,42.21583,9.99998E-01,1.12017E-06,1.52239E-07,1.61011E-07,1.60501E-07,6.24453E-08
30,"pre1919rota",12.96694,42.27389,9.99993E-01,2.46501E-06,9.61939E-07,1.22274E-06,1.26496E-06,7.15500E-07
208,"post1981rota",12.96694,42.27389,9.99998E-01,1.09138E-06,1.47702E-07,1.55894E-07,1.54832E-07,5.97984E-08
