#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.9.0', start_date='2020-10-27T09:52:04', checksum=2089612445, kind='rlz-909', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.80194,42.52722,0.00000,6.980621E-06,6.727775E-06,6.296063E-06,5.647370E-06,4.789551E-06,3.791244E-06,2.768784E-06,1.847184E-06,1.116125E-06,6.057702E-07,2.922239E-07,1.226983E-07,4.203618E-08,8.260972E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.83333,42.52778,0.00000,7.019314E-06,6.799687E-06,6.413530E-06,5.816016E-06,5.002357E-06,4.027256E-06,2.998838E-06,2.044276E-06,1.264533E-06,7.039869E-07,3.493534E-07,1.519048E-07,5.515951E-08,1.344363E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.84333,42.58611,0.00000,7.005394E-06,6.773569E-06,6.370462E-06,5.753600E-06,4.922859E-06,3.938268E-06,2.911294E-06,1.968587E-06,1.207020E-06,6.655799E-07,3.268123E-07,1.402781E-07,4.988897E-08,1.134387E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.85722,42.51583,0.00000,7.050900E-06,6.860117E-06,6.515146E-06,5.966195E-06,5.197430E-06,4.249961E-06,3.222301E-06,2.241347E-06,1.417283E-06,8.080462E-07,4.116585E-07,1.846923E-07,7.032423E-08,1.960820E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.86306,42.40500,0.00000,7.079738E-06,6.916935E-06,6.613533E-06,6.115934E-06,5.397731E-06,4.485454E-06,3.465642E-06,2.462352E-06,1.593698E-06,9.318164E-07,4.879793E-07,2.260556E-07,9.002738E-08,2.785722E-08,2.852175E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.88917,42.50306,0.00000,7.086656E-06,6.930836E-06,6.638082E-06,6.154036E-06,5.449703E-06,4.547756E-06,3.531281E-06,2.523127E-06,1.643153E-06,9.671844E-07,5.102085E-07,2.383344E-07,9.598812E-08,3.040031E-08,3.805712E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.90500,42.46861,0.00000,7.109666E-06,6.977959E-06,6.722903E-06,6.288228E-06,5.636294E-06,4.775792E-06,3.776223E-06,2.754371E-06,1.835030E-06,1.107118E-06,5.999039E-07,2.888661E-07,1.210091E-07,4.128941E-08,7.970821E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.92778,42.27722,0.00000,7.105368E-06,6.969045E-06,6.706655E-06,6.262199E-06,5.599650E-06,4.730453E-06,3.726922E-06,2.707257E-06,1.795460E-06,1.077911E-06,5.809575E-07,2.780646E-07,1.155972E-07,3.890635E-08,7.048607E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.93444,42.71194,0.00000,7.005086E-06,6.772993E-06,6.369517E-06,5.752239E-06,4.921135E-06,3.936350E-06,2.909418E-06,1.966974E-06,1.205801E-06,6.647708E-07,3.263402E-07,1.400360E-07,4.977985E-08,1.130065E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.94889,42.38778,0.00000,7.145800E-06,7.055432E-06,6.868936E-06,6.530223E-06,5.988851E-06,5.227349E-06,4.284685E-06,3.257718E-06,2.273095E-06,1.442294E-06,8.253631E-07,4.221955E-07,1.903270E-07,7.297242E-08,2.070200E-08,2.138231E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.95417,42.65361,0.00000,7.075180E-06,6.907836E-06,6.597572E-06,6.091328E-06,5.364392E-06,4.445753E-06,3.424096E-06,2.424141E-06,1.562811E-06,9.098755E-07,4.742813E-07,2.185399E-07,8.640328E-08,2.632139E-08,2.280170E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.96472,42.56500,0.00000,7.127806E-06,7.016235E-06,6.793886E-06,6.403922E-06,5.802031E-06,4.984466E-06,4.007143E-06,2.978965E-06,2.027020E-06,1.251364E-06,6.951546E-07,3.441474E-07,1.492080E-07,5.393177E-08,1.295242E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.96500,42.21583,0.00000,7.098348E-06,6.954600E-06,6.680534E-06,6.220684E-06,5.541662E-06,4.659270E-06,3.650126E-06,2.634443E-06,1.734785E-06,1.033477E-06,5.523588E-07,2.618881E-07,1.075556E-07,3.539302E-08,5.699613E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.96694,42.27389,0.00000,7.131108E-06,7.023326E-06,6.807272E-06,6.426129E-06,5.834409E-06,5.025955E-06,4.053866E-06,3.025207E-06,2.067241E-06,1.282110E-06,7.158103E-07,3.563430E-07,1.555362E-07,5.681762E-08,1.410901E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.98694,42.32417,0.00000,7.157680E-06,7.082162E-06,6.921793E-06,6.622089E-06,6.129178E-06,5.415749E-06,4.506995E-06,3.488276E-06,2.483253E-06,1.610660E-06,9.439140E-07,4.955622E-07,2.302329E-07,9.204975E-08,2.871770E-08,3.173937E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.99722,42.19722,0.00000,7.106979E-06,6.972379E-06,6.712720E-06,6.271896E-06,5.613276E-06,4.747280E-06,3.745183E-06,2.724674E-06,1.810060E-06,1.088667E-06,5.879209E-07,2.820268E-07,1.175785E-07,3.977708E-08,7.384909E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.99861,42.19167,0.00000,7.103758E-06,6.965722E-06,6.700623E-06,6.252577E-06,5.586160E-06,4.713832E-06,3.708924E-06,2.690130E-06,1.781136E-06,1.067383E-06,5.741564E-07,2.742036E-07,1.136709E-07,3.806169E-08,6.723109E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.01361,42.72056,0.00000,7.063838E-06,6.885396E-06,6.558550E-06,6.031693E-06,5.284296E-06,4.351208E-06,3.326014E-06,2.334716E-06,1.491157E-06,8.594156E-07,4.430515E-07,2.015532E-07,7.828304E-08,2.290988E-08,1.020541E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02028,42.24056,0.00000,7.145686E-06,7.055180E-06,6.868444E-06,6.529380E-06,5.987581E-06,5.225669E-06,4.282731E-06,3.255721E-06,2.271301E-06,1.440878E-06,8.243804E-07,4.215962E-07,1.900059E-07,7.282119E-08,2.063941E-08,1.910549E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.02306,42.39472,0.00000,7.179954E-06,7.134867E-06,7.031454E-06,6.822713E-06,6.451912E-06,5.872244E-06,5.074750E-06,4.109171E-06,3.080297E-06,2.115469E-06,1.319215E-06,7.408996E-07,3.712522E-07,1.633226E-07,6.039146E-08,1.555061E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.03944,42.88028,0.00000,6.840191E-06,6.481319E-06,5.915726E-06,5.131255E-06,4.173703E-06,3.145070E-06,2.172606E-06,1.363510E-06,7.710793E-07,3.893235E-07,1.728325E-07,6.478969E-08,1.733832E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.03972,42.17722,0.00000,7.116810E-06,6.992901E-06,6.750371E-06,6.332602E-06,5.699297E-06,4.854407E-06,3.862435E-06,2.837461E-06,1.905409E-06,1.159510E-06,6.341801E-07,3.085741E-07,1.309679E-07,4.571216E-08,9.697030E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.04611,42.22750,0.00000,7.151178E-06,7.067437E-06,6.892486E-06,6.570828E-06,6.050378E-06,5.309286E-06,4.380583E-06,3.356358E-06,2.362265E-06,1.513137E-06,8.748285E-07,4.525498E-07,2.066974E-07,8.073162E-08,2.393416E-08,1.397100E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.04861,42.13833,0.00000,7.087694E-06,6.932932E-06,6.641801E-06,6.159835E-06,5.457651E-06,4.557329E-06,3.541415E-06,2.532555E-06,1.650861E-06,9.727228E-07,5.137059E-07,2.402753E-07,9.693480E-08,3.080610E-08,3.958581E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.05556,42.45222,0.00000,7.187488E-06,7.153836E-06,7.073428E-06,6.904352E-06,6.591481E-06,6.081971E-06,5.351759E-06,4.430764E-06,3.408465E-06,2.409816E-06,1.551274E-06,9.017091E-07,4.692011E-07,2.157625E-07,8.506881E-08,2.575789E-08,2.071053E-09,0.000000E+00,0.000000E+00,0.000000E+00
13.05972,42.40750,0.00000,7.190190E-06,7.160850E-06,7.089432E-06,6.936447E-06,6.648049E-06,6.169596E-06,5.471051E-06,4.573496E-06,3.558557E-06,2.548530E-06,1.663944E-06,9.821396E-07,5.196625E-07,2.435868E-07,9.855268E-08,3.150078E-08,4.220726E-09,0.000000E+00,0.000000E+00,0.000000E+00
13.06861,42.29611,0.00000,7.182103E-06,7.140201E-06,7.043085E-06,6.845005E-06,6.489461E-06,5.927829E-06,5.147066E-06,4.191856E-06,3.163385E-06,2.188847E-06,1.376168E-06,7.797486E-07,3.945418E-07,1.755930E-07,6.607310E-08,1.786271E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.07000,42.15833,0.00000,7.117053E-06,6.993412E-06,6.751314E-06,6.334134E-06,5.701484E-06,4.857152E-06,3.865462E-06,2.840395E-06,1.907908E-06,1.161381E-06,6.354107E-07,3.092856E-07,1.313295E-07,4.587362E-08,9.760395E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.07944,42.41806,0.00000,7.194086E-06,7.171228E-06,7.113727E-06,6.986433E-06,6.738444E-06,6.313275E-06,5.671773E-06,4.819958E-06,3.824542E-06,2.800830E-06,1.874288E-06,1.136273E-06,6.189322E-07,2.997807E-07,1.265112E-07,4.372701E-08,8.919919E-09,0.000000E+00,0.000000E+00,0.000000E+00
13.08722,43.03667,0.00000,6.473227E-06,5.903726E-06,5.115614E-06,4.155788E-06,3.127034E-06,2.156649E-06,1.351103E-06,7.626011E-07,3.842319E-07,1.701452E-07,6.354320E-08,1.683019E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.08806,42.10083,0.00000,7.068440E-06,6.894467E-06,6.574267E-06,6.055624E-06,5.316319E-06,4.388870E-06,3.364940E-06,2.370075E-06,1.519384E-06,8.792196E-07,4.552625E-07,2.081702E-07,8.143432E-08,2.422882E-08,1.505693E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.08806,42.93222,0.00000,6.762085E-06,6.351675E-06,5.726588E-06,4.888727E-06,3.900366E-06,2.874304E-06,1.936860E-06,1.183104E-06,6.497365E-07,3.175882E-07,1.355583E-07,4.776658E-08,1.050509E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.09389,42.79583,0.00000,7.026910E-06,6.814067E-06,6.437454E-06,5.850995E-06,5.047304E-06,4.078015E-06,3.049214E-06,2.088216E-06,1.298216E-06,7.266790E-07,3.627889E-07,1.588959E-07,5.835660E-08,1.472856E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.09667,42.52611,0.00000,7.190723E-06,7.162250E-06,7.092664E-06,6.943003E-06,6.659738E-06,6.187912E-06,5.496274E-06,4.604024E-06,3.591027E-06,2.578882E-06,1.688879E-06,1.000143E-06,5.310858E-07,2.499570E-07,1.016747E-07,3.284546E-08,4.729730E-09,0.000000E+00,0.000000E+00,0.000000E+00
13.12639,42.26611,0.00000,7.188445E-06,7.156305E-06,7.079028E-06,6.915513E-06,6.611034E-06,6.112074E-06,5.392489E-06,4.479197E-06,3.459081E-06,2.456304E-06,1.588798E-06,9.283283E-07,4.857969E-07,2.248556E-07,8.944746E-08,2.761093E-08,2.760246E-09,0.000000E+00,0.000000E+00,0.000000E+00
