asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,9.99998E-01,6.60172E-07,2.45333E-07,2.98368E-07,2.84941E-07,1.36288E-07
206,"post1981rota",12.80194,42.52722,1.00000E+00,2.56458E-07,3.25064E-08,3.32292E-08,3.11343E-08,1.06700E-08
33,"pre1919rota",12.83333,42.52778,9.99998E-01,7.08867E-07,2.66045E-07,3.26460E-07,3.16876E-07,1.56849E-07
211,"post1981rota",12.83333,42.52778,1.00000E+00,2.82452E-07,3.62797E-08,3.73285E-08,3.53948E-08,1.24341E-08
6,"pre1919rota",12.84333,42.58611,9.99998E-01,6.90356E-07,2.58125E-07,3.15668E-07,3.04519E-07,1.48798E-07
184,"post1981rota",12.84333,42.58611,1.00000E+00,2.72422E-07,3.48160E-08,3.57346E-08,3.37316E-08,1.17407E-08
41,"pre1919rota",12.85722,42.51583,9.99998E-01,7.56030E-07,2.86489E-07,3.54610E-07,3.49632E-07,1.78760E-07
219,"post1981rota",12.85722,42.51583,1.00000E+00,3.08877E-07,4.01826E-08,4.16011E-08,3.98922E-08,1.43375E-08
40,"pre1919rota",12.86306,42.40500,9.99998E-01,8.07277E-07,3.09162E-07,3.86327E-07,3.87447E-07,2.05071E-07
218,"post1981rota",12.86306,42.40500,1.00000E+00,3.39132E-07,4.47313E-08,4.66197E-08,4.52435E-08,1.66532E-08
38,"pre1919rota",12.88917,42.50306,9.99998E-01,8.21085E-07,3.15357E-07,3.95086E-07,3.98062E-07,2.12649E-07
216,"post1981rota",12.88917,42.50306,1.00000E+00,3.47581E-07,4.60166E-08,4.80450E-08,4.67761E-08,1.73259E-08
19,"pre1919rota",12.90500,42.46861,9.99998E-01,8.72542E-07,3.38780E-07,4.28575E-07,4.39341E-07,2.43059E-07
197,"post1981rota",12.90500,42.46861,9.99999E-01,3.80318E-07,5.10621E-08,5.36741E-08,5.28935E-08,2.00692E-08
42,"pre1919rota",12.92778,42.27722,9.99998E-01,8.62207E-07,3.34033E-07,4.21742E-07,4.30823E-07,2.36592E-07
220,"post1981rota",12.92778,42.27722,9.99999E-01,3.73562E-07,5.00096E-08,5.24933E-08,5.15959E-08,1.94707E-08
4,"pre1919rota",12.93444,42.71194,9.99998E-01,6.89959E-07,2.57956E-07,3.15439E-07,3.04257E-07,1.48628E-07
182,"post1981rota",12.93444,42.71194,1.00000E+00,2.72209E-07,3.47850E-08,3.57009E-08,3.36966E-08,1.17262E-08
22,"pre1919rota",12.94889,42.38778,9.99997E-01,9.78927E-07,3.89080E-07,5.02575E-07,5.34618E-07,3.19353E-07
200,"post1981rota",12.94889,42.38778,9.99999E-01,4.55423E-07,6.30370E-08,6.72474E-08,6.80657E-08,2.72805E-08
2,"pre1919rota",12.95417,42.65361,9.99998E-01,7.98534E-07,3.05259E-07,3.80829E-07,3.80822E-07,2.00383E-07
180,"post1981rota",12.95417,42.65361,1.00000E+00,3.33849E-07,4.39310E-08,4.57338E-08,4.42937E-08,1.62384E-08
29,"pre1919rota",12.96472,42.56500,9.99997E-01,9.20903E-07,3.61308E-07,4.61352E-07,4.80850E-07,2.75403E-07
207,"post1981rota",12.96472,42.56500,9.99999E-01,4.13133E-07,5.62328E-08,5.95044E-08,5.93542E-08,2.30932E-08
20,"pre1919rota",12.96500,42.21583,9.99998E-01,8.46073E-07,3.26664E-07,4.11180E-07,4.17758E-07,2.26934E-07
198,"post1981rota",12.96500,42.21583,9.99999E-01,3.63215E-07,4.84117E-08,5.07093E-08,4.96555E-08,1.86007E-08
30,"pre1919rota",12.96694,42.27389,9.99997E-01,9.30679E-07,3.65928E-07,4.68146E-07,4.89591E-07,2.82390E-07
208,"post1981rota",12.96694,42.27389,9.99999E-01,4.20023E-07,5.73305E-08,6.07483E-08,6.07438E-08,2.37530E-08
26,"pre1919rota",12.98694,42.32417,9.99997E-01,1.02530E-06,4.11932E-07,5.37211E-07,5.81183E-07,3.59301E-07
204,"post1981rota",12.98694,42.32417,9.99999E-01,4.91906E-07,6.90315E-08,7.41316E-08,7.59289E-08,3.11602E-08
15,"pre1919rota",12.99722,42.19722,9.99998E-01,8.66036E-07,3.35789E-07,4.24266E-07,4.33965E-07,2.38970E-07
193,"post1981rota",12.99722,42.19722,9.99999E-01,3.76055E-07,5.03975E-08,5.29282E-08,5.20734E-08,1.96906E-08
