asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,9.99999E-01,2.14442E-07,8.17695E-08,1.01783E-07,1.01370E-07,5.29052E-08
206,"post1981rota",12.80194,42.52722,1.00000E+00,8.90598E-08,1.16811E-08,1.21413E-08,1.17258E-08,4.27471E-09
33,"pre1919rota",12.83333,42.52778,9.99999E-01,2.27571E-07,8.76507E-08,1.10088E-07,1.11418E-07,6.00590E-08
211,"post1981rota",12.83333,42.52778,1.00000E+00,9.70621E-08,1.28968E-08,1.34888E-08,1.31734E-08,4.90919E-09
6,"pre1919rota",12.84333,42.58611,9.99999E-01,2.22604E-07,8.54112E-08,1.06910E-07,1.07544E-07,5.72679E-08
184,"post1981rota",12.84333,42.58611,1.00000E+00,9.39835E-08,1.24266E-08,1.29664E-08,1.26100E-08,4.66067E-09
41,"pre1919rota",12.85722,42.51583,9.99999E-01,2.40083E-07,9.33735E-08,1.18300E-07,1.21598E-07,6.76521E-08
219,"post1981rota",12.85722,42.51583,1.00000E+00,1.05130E-07,1.41463E-08,1.48860E-08,1.46985E-08,5.60007E-09
40,"pre1919rota",12.86306,42.40500,9.99999E-01,2.53449E-07,9.96247E-08,1.27423E-07,1.33202E-07,7.67600E-08
218,"post1981rota",12.86306,42.40500,1.00000E+00,1.14296E-07,1.55951E-08,1.65220E-08,1.65156E-08,6.45404E-09
38,"pre1919rota",12.88917,42.50306,9.99999E-01,2.57012E-07,1.01317E-07,1.29921E-07,1.36435E-07,7.93680E-08
216,"post1981rota",12.88917,42.50306,1.00000E+00,1.16842E-07,1.60024E-08,1.69843E-08,1.70336E-08,6.70120E-09
19,"pre1919rota",12.90500,42.46861,9.99999E-01,2.70155E-07,1.07665E-07,1.39404E-07,1.48920E-07,8.97294E-08
197,"post1981rota",12.90500,42.46861,1.00000E+00,1.26649E-07,1.75907E-08,1.87970E-08,1.90827E-08,7.69429E-09
42,"pre1919rota",12.92778,42.27722,9.99999E-01,2.67529E-07,1.06383E-07,1.37475E-07,1.46352E-07,8.75600E-08
220,"post1981rota",12.92778,42.27722,1.00000E+00,1.24634E-07,1.72619E-08,1.84205E-08,1.86547E-08,7.48493E-09
4,"pre1919rota",12.93444,42.71194,9.99999E-01,2.22497E-07,8.53632E-08,1.06842E-07,1.07461E-07,5.72090E-08
182,"post1981rota",12.93444,42.71194,1.00000E+00,9.39180E-08,1.24166E-08,1.29553E-08,1.25981E-08,4.65544E-09
22,"pre1919rota",12.94889,42.38778,9.99999E-01,2.96658E-07,1.21032E-07,1.60001E-07,1.77273E-07,1.15025E-07
200,"post1981rota",12.94889,42.38778,1.00000E+00,1.48830E-07,2.12957E-08,2.30830E-08,2.40390E-08,1.01966E-08
2,"pre1919rota",12.95417,42.65361,9.99999E-01,2.51184E-07,9.85548E-08,1.25850E-07,1.31179E-07,7.51437E-08
180,"post1981rota",12.95417,42.65361,1.00000E+00,1.12701E-07,1.53411E-08,1.62341E-08,1.61941E-08,6.30144E-09
29,"pre1919rota",12.96472,42.56500,9.99999E-01,2.82325E-07,1.13701E-07,1.48595E-07,1.61358E-07,1.00511E-07
207,"post1981rota",12.96472,42.56500,1.00000E+00,1.36387E-07,1.91980E-08,2.06464E-08,2.12019E-08,8.74568E-09
