#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.9.0', start_date='2020-10-27T09:52:04', checksum=2089612445, kind='rlz-902', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.80194,42.52722,0.00000,3.433033E-06,3.376263E-06,3.264165E-06,3.069374E-06,2.771487E-06,2.370579E-06,1.895738E-06,1.400782E-06,9.467374E-07,5.801784E-07,3.197426E-07,1.569005E-07,6.729432E-08,2.390229E-08,5.410562E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.83333,42.52778,0.00000,3.440419E-06,3.392145E-06,3.294183E-06,3.119237E-06,2.844286E-06,2.463994E-06,2.001091E-06,1.505210E-06,1.037714E-06,6.498377E-07,3.666208E-07,1.846276E-07,8.170809E-08,3.048784E-08,8.055079E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.84333,42.58611,0.00000,3.437779E-06,3.386418E-06,3.283263E-06,3.100937E-06,2.817334E-06,2.429108E-06,1.961404E-06,1.465533E-06,1.002851E-06,6.229169E-07,3.483509E-07,1.737306E-07,7.599610E-08,2.785643E-08,6.989695E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.85722,42.51583,0.00000,3.446330E-06,3.405205E-06,3.319543E-06,3.162518E-06,2.909206E-06,2.549578E-06,2.100253E-06,1.606190E-06,1.128093E-06,7.209323E-07,4.157730E-07,2.144943E-07,9.765847E-08,3.797457E-08,1.114361E-08,5.289208E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.86306,42.40500,0.00000,3.451626E-06,3.417230E-06,3.343540E-06,3.204606E-06,2.974087E-06,2.637485E-06,2.204933E-06,1.715750E-06,1.228874E-06,8.024122E-07,4.736710E-07,2.506534E-07,1.175064E-07,4.754991E-08,1.520370E-08,2.041995E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.88917,42.50306,0.00000,3.452881E-06,3.420132E-06,3.349438E-06,3.215144E-06,2.990629E-06,2.660309E-06,2.232610E-06,1.745244E-06,1.256497E-06,8.251491E-07,4.901186E-07,2.611101E-07,1.233488E-07,5.041878E-08,1.644177E-08,2.511555E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.90500,42.46861,0.00000,3.457007E-06,3.429845E-06,3.369534E-06,3.251686E-06,3.049032E-06,2.742345E-06,2.333888E-06,1.855139E-06,1.361301E-06,9.129945E-07,5.548334E-07,3.030117E-07,1.471940E-07,6.234527E-08,2.168461E-08,4.537201E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.92778,42.27722,0.00000,3.456242E-06,3.428023E-06,3.365720E-06,3.244668E-06,3.037685E-06,2.726220E-06,2.313752E-06,1.833038E-06,1.339983E-06,8.949233E-07,5.413702E-07,2.941967E-07,1.421216E-07,5.978011E-08,2.054454E-08,4.091890E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.93444,42.71194,0.00000,3.437720E-06,3.386291E-06,3.283022E-06,3.100536E-06,2.816746E-06,2.428351E-06,1.960549E-06,1.464682E-06,1.002107E-06,6.223455E-07,3.479651E-07,1.735018E-07,7.587680E-08,2.780176E-08,6.967682E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.94889,42.38778,0.00000,3.463322E-06,3.445356E-06,3.403029E-06,3.315271E-06,3.155145E-06,2.898023E-06,2.534674E-06,2.082794E-06,1.588218E-06,1.111832E-06,7.080031E-07,4.067381E-07,2.089457E-07,9.466370E-08,3.655402E-08,1.055142E-08,3.119622E-10,0.000000E+00,0.000000E+00,0.000000E+00
