asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,1.00000E+00,1.65533E-07,5.99861E-08,7.13054E-08,6.53214E-08,2.87020E-08
206,"post1981rota",12.80194,42.52722,1.00000E+00,6.04457E-08,7.41139E-09,7.45517E-09,6.78435E-09,2.19316E-09
33,"pre1919rota",12.83333,42.52778,1.00000E+00,1.76056E-07,6.42492E-08,7.68633E-08,7.12430E-08,3.20647E-08
211,"post1981rota",12.83333,42.52778,1.00000E+00,6.53913E-08,8.09285E-09,8.17763E-09,7.50327E-09,2.46590E-09
6,"pre1919rota",12.84333,42.58611,1.00000E+00,1.72841E-07,6.29412E-08,7.51520E-08,6.94095E-08,3.10142E-08
184,"post1981rota",12.84333,42.58611,1.00000E+00,6.38646E-08,7.88161E-09,7.95327E-09,7.27933E-09,2.38050E-09
41,"pre1919rota",12.85722,42.51583,1.00000E+00,1.85637E-07,6.81774E-08,8.20344E-08,7.68377E-08,3.53212E-08
219,"post1981rota",12.85722,42.51583,1.00000E+00,7.00263E-08,8.73887E-09,8.86596E-09,8.19399E-09,2.73169E-09
40,"pre1919rota",12.86306,42.40500,1.00000E+00,1.96003E-07,7.24788E-08,8.77518E-08,8.31182E-08,3.90663E-08
218,"post1981rota",12.86306,42.40500,1.00000E+00,7.51897E-08,9.46668E-09,9.64528E-09,8.98239E-09,3.03927E-09
38,"pre1919rota",12.88917,42.50306,1.00000E+00,1.98895E-07,7.36884E-08,8.93703E-08,8.49181E-08,4.01791E-08
216,"post1981rota",12.88917,42.50306,1.00000E+00,7.66668E-08,9.67743E-09,9.87243E-09,9.21522E-09,3.13314E-09
19,"pre1919rota",12.90500,42.46861,9.99999E-01,2.08269E-07,7.76379E-08,9.46875E-08,9.08920E-08,4.39509E-08
197,"post1981rota",12.90500,42.46861,1.00000E+00,8.15526E-08,1.03805E-08,1.06332E-08,1.00008E-08,3.45472E-09
42,"pre1919rota",12.92778,42.27722,9.99999E-01,2.18288E-07,8.19112E-08,1.00497E-07,9.75184E-08,4.82415E-08
