asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,9.99998E-01,7.24289E-07,2.69161E-07,3.27346E-07,3.12615E-07,1.49524E-07
206,"post1981rota",12.80194,42.52722,1.00000E+00,2.81366E-07,3.56636E-08,3.64566E-08,3.41582E-08,1.17063E-08
33,"pre1919rota",12.83333,42.52778,9.99998E-01,7.77714E-07,2.91884E-07,3.58167E-07,3.47652E-07,1.72082E-07
211,"post1981rota",12.83333,42.52778,1.00000E+00,3.09884E-07,3.98033E-08,4.09540E-08,3.88325E-08,1.36417E-08
6,"pre1919rota",12.84333,42.58611,9.99998E-01,7.57406E-07,2.83195E-07,3.46327E-07,3.34095E-07,1.63249E-07
184,"post1981rota",12.84333,42.58611,1.00000E+00,2.98881E-07,3.81974E-08,3.92052E-08,3.70078E-08,1.28810E-08
41,"pre1919rota",12.85722,42.51583,9.99998E-01,8.29458E-07,3.14314E-07,3.89051E-07,3.83589E-07,1.96121E-07
219,"post1981rota",12.85722,42.51583,1.00000E+00,3.38876E-07,4.40852E-08,4.56415E-08,4.37666E-08,1.57301E-08
40,"pre1919rota",12.86306,42.40500,9.99998E-01,8.85682E-07,3.39188E-07,4.23848E-07,4.25077E-07,2.24988E-07
218,"post1981rota",12.86306,42.40500,9.99999E-01,3.72069E-07,4.90757E-08,5.11475E-08,4.96376E-08,1.82706E-08
38,"pre1919rota",12.88917,42.50306,9.99998E-01,9.00831E-07,3.45985E-07,4.33458E-07,4.36722E-07,2.33302E-07
216,"post1981rota",12.88917,42.50306,9.99999E-01,3.81339E-07,5.04858E-08,5.27112E-08,5.13191E-08,1.90087E-08
19,"pre1919rota",12.90500,42.46861,9.99997E-01,9.57285E-07,3.71683E-07,4.70200E-07,4.82011E-07,2.66665E-07
197,"post1981rota",12.90500,42.46861,9.99999E-01,4.17256E-07,5.60214E-08,5.88871E-08,5.80307E-08,2.20184E-08
42,"pre1919rota",12.92778,42.27722,9.99997E-01,9.45947E-07,3.66475E-07,4.62703E-07,4.72666E-07,2.59570E-07
220,"post1981rota",12.92778,42.27722,9.99999E-01,4.09843E-07,5.48667E-08,5.75915E-08,5.66071E-08,2.13618E-08
4,"pre1919rota",12.93444,42.71194,9.99998E-01,7.56970E-07,2.83009E-07,3.46075E-07,3.33807E-07,1.63064E-07
182,"post1981rota",12.93444,42.71194,1.00000E+00,2.98647E-07,3.81634E-08,3.91682E-08,3.69693E-08,1.28651E-08
22,"pre1919rota",12.94889,42.38778,9.99997E-01,1.07400E-06,4.26869E-07,5.51387E-07,5.86541E-07,3.50370E-07
200,"post1981rota",12.94889,42.38778,9.99999E-01,4.99655E-07,6.91593E-08,7.37786E-08,7.46765E-08,2.99301E-08
2,"pre1919rota",12.95417,42.65361,9.99998E-01,8.76089E-07,3.34906E-07,4.17816E-07,4.17809E-07,2.19845E-07
180,"post1981rota",12.95417,42.65361,9.99999E-01,3.66274E-07,4.81977E-08,5.01756E-08,4.85956E-08,1.78155E-08
29,"pre1919rota",12.96472,42.56500,9.99997E-01,1.01034E-06,3.96399E-07,5.06160E-07,5.27552E-07,3.02151E-07
207,"post1981rota",12.96472,42.56500,9.99999E-01,4.53258E-07,6.16943E-08,6.52836E-08,6.51188E-08,2.53361E-08
20,"pre1919rota",12.96500,42.21583,9.99998E-01,9.28246E-07,3.58391E-07,4.51115E-07,4.58332E-07,2.48974E-07
198,"post1981rota",12.96500,42.21583,9.99999E-01,3.98492E-07,5.31136E-08,5.56343E-08,5.44782E-08,2.04073E-08
30,"pre1919rota",12.96694,42.27389,9.99997E-01,1.02107E-06,4.01468E-07,5.13614E-07,5.37141E-07,3.09816E-07
208,"post1981rota",12.96694,42.27389,9.99999E-01,4.60816E-07,6.28986E-08,6.66483E-08,6.66434E-08,2.60599E-08
26,"pre1919rota",12.98694,42.32417,9.99997E-01,1.12488E-06,4.51939E-07,5.89387E-07,6.37630E-07,3.94197E-07
204,"post1981rota",12.98694,42.32417,9.99999E-01,5.39682E-07,7.57361E-08,8.13315E-08,8.33034E-08,3.41865E-08
15,"pre1919rota",12.99722,42.19722,9.99997E-01,9.50147E-07,3.68401E-07,4.65472E-07,4.76113E-07,2.62180E-07
193,"post1981rota",12.99722,42.19722,9.99999E-01,4.12578E-07,5.52922E-08,5.80687E-08,5.71309E-08,2.16030E-08
35,"pre1919rota",12.99861,42.19167,9.99997E-01,9.41803E-07,3.64578E-07,4.59977E-07,4.69283E-07,2.57037E-07
213,"post1981rota",12.99861,42.19167,9.99999E-01,4.07162E-07,5.44509E-08,5.71262E-08,5.60984E-08,2.11305E-08
1,"pre1919rota",13.01361,42.72056,9.99998E-01,8.53434E-07,3.24855E-07,4.03726E-07,4.00957E-07,2.08061E-07
179,"post1981rota",13.01361,42.72056,9.99999E-01,3.52805E-07,4.61681E-08,4.79341E-08,4.62016E-08,1.67767E-08
43,"pre1919rota",13.02028,42.24056,9.99997E-01,1.07356E-06,4.26651E-07,5.51060E-07,5.86108E-07,3.50006E-07
221,"post1981rota",13.02028,42.24056,9.99999E-01,4.99315E-07,6.91040E-08,7.37154E-08,7.46047E-08,2.98951E-08
21,"pre1919rota",13.02306,42.39472,9.99996E-01,1.25377E-06,5.18967E-07,6.94870E-07,7.87226E-07,5.35006E-07
199,"post1981rota",13.02306,42.39472,9.99999E-01,6.56772E-07,9.57183E-08,1.04677E-07,1.10773E-07,4.85647E-08
5,"pre1919rota",13.03944,42.88028,9.99999E-01,5.84438E-07,2.11605E-07,2.51334E-07,2.29906E-07,1.00715E-07
183,"post1981rota",13.03944,42.88028,1.00000E+00,2.12964E-07,2.60816E-08,2.62208E-08,2.38367E-08,7.68950E-09
25,"pre1919rota",13.03972,42.17722,9.99997E-01,9.77103E-07,3.80847E-07,4.83459E-07,4.98665E-07,2.79466E-07
