asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,9.99997E-01,1.33075E-06,4.77688E-07,5.62922E-07,5.07484E-07,2.15618E-07
206,"post1981rota",12.80194,42.52722,9.99999E-01,4.74994E-07,5.75002E-08,5.74782E-08,5.17085E-08,1.63268E-08
33,"pre1919rota",12.83333,42.52778,9.99997E-01,1.40817E-06,5.08515E-07,6.02543E-07,5.48741E-07,2.38186E-07
211,"post1981rota",12.83333,42.52778,9.99999E-01,5.09894E-07,6.22269E-08,6.24513E-08,5.65946E-08,1.81404E-08
6,"pre1919rota",12.84333,42.58611,9.99997E-01,1.26074E-06,4.50085E-07,5.27731E-07,4.71316E-07,1.96257E-07
184,"post1981rota",12.84333,42.58611,9.99999E-01,4.44164E-07,5.33657E-08,5.31475E-08,4.74849E-08,1.47791E-08
41,"pre1919rota",12.85722,42.51583,9.99996E-01,1.50784E-06,5.48668E-07,6.54652E-07,6.03853E-07,2.69112E-07
219,"post1981rota",12.85722,42.51583,9.99999E-01,5.56107E-07,6.85599E-08,6.91489E-08,6.32326E-08,2.06413E-08
40,"pre1919rota",12.86306,42.40500,9.99995E-01,1.87137E-06,6.99817E-07,8.55945E-07,8.25922E-07,4.03787E-07
218,"post1981rota",12.86306,42.40500,9.99999E-01,7.38759E-07,9.44340E-08,9.69353E-08,9.15190E-08,3.18666E-08
38,"pre1919rota",12.88917,42.50306,9.99996E-01,1.64104E-06,6.03176E-07,7.26299E-07,6.81187E-07,3.13958E-07
216,"post1981rota",12.88917,42.50306,9.99999E-01,6.20254E-07,7.74849E-08,7.86514E-08,7.27559E-08,2.42981E-08
19,"pre1919rota",12.90500,42.46861,9.99996E-01,1.81443E-06,6.75637E-07,8.23189E-07,7.88759E-07,3.79940E-07
197,"post1981rota",12.90500,42.46861,9.99999E-01,7.08487E-07,9.00462E-08,9.21715E-08,8.65733E-08,2.98228E-08
42,"pre1919rota",12.92778,42.27722,9.99993E-01,2.48460E-06,9.74103E-07,1.24302E-06,1.29407E-06,7.39403E-07
220,"post1981rota",12.92778,42.27722,9.99998E-01,1.11239E-06,1.51268E-07,1.59995E-07,1.59458E-07,6.19352E-08
4,"pre1919rota",12.93444,42.71194,9.99998E-01,1.08522E-06,3.82004E-07,4.42147E-07,3.85527E-07,1.52742E-07
182,"post1981rota",12.93444,42.71194,1.00000E+00,3.70125E-07,4.36410E-08,4.30642E-08,3.78323E-08,1.13767E-08
22,"pre1919rota",12.94889,42.38778,9.99994E-01,2.28989E-06,8.84040E-07,1.11268E-06,1.13033E-06,6.13855E-07
200,"post1981rota",12.94889,42.38778,9.99999E-01,9.82822E-07,1.30983E-07,1.37192E-07,1.34329E-07,5.03101E-08
2,"pre1919rota",12.95417,42.65361,9.99997E-01,1.29417E-06,4.63234E-07,5.44461E-07,4.88454E-07,2.05381E-07
180,"post1981rota",12.95417,42.65361,9.99999E-01,4.58801E-07,5.53238E-08,5.51963E-08,4.94792E-08,1.55075E-08
29,"pre1919rota",12.96472,42.56500,9.99996E-01,1.62528E-06,5.96677E-07,7.17703E-07,6.71814E-07,3.08434E-07
207,"post1981rota",12.96472,42.56500,9.99999E-01,6.12519E-07,7.64007E-08,7.74931E-08,7.15888E-08,2.38458E-08
20,"pre1919rota",12.96500,42.21583,9.99992E-01,2.74838E-06,1.10153E-06,1.43343E-06,1.54489E-06,9.47760E-07
198,"post1981rota",12.96500,42.21583,9.99998E-01,1.30941E-06,1.83188E-07,1.96431E-07,2.00660E-07,8.19164E-08
30,"pre1919rota",12.96694,42.27389,9.99992E-01,2.71003E-06,1.08257E-06,1.40463E-06,1.50603E-06,9.14255E-07
208,"post1981rota",12.96694,42.27389,9.99998E-01,1.27898E-06,1.78177E-07,1.90670E-07,1.94070E-07,7.86559E-08
26,"pre1919rota",12.98694,42.32417,9.99992E-01,2.70049E-06,1.07787E-06,1.39752E-06,1.49650E-06,9.06102E-07
204,"post1981rota",12.98694,42.32417,9.99998E-01,1.27151E-06,1.76951E-07,1.89263E-07,1.92464E-07,7.78652E-08
15,"pre1919rota",12.99722,42.19722,9.99991E-01,2.93550E-06,1.19649E-06,1.58040E-06,1.74842E-06,1.13098E-06
193,"post1981rota",12.99722,42.19722,9.99998E-01,1.46856E-06,2.09875E-07,2.27355E-07,2.36517E-07,1.00098E-07
35,"pre1919rota",12.99861,42.19167,9.99991E-01,2.93999E-06,1.19882E-06,1.58407E-06,1.75360E-06,1.13587E-06
213,"post1981rota",12.99861,42.19167,9.99998E-01,1.47262E-06,2.10569E-07,2.28166E-07,2.37472E-07,1.00601E-07
1,"pre1919rota",13.01361,42.72056,9.99997E-01,1.17732E-06,4.17528E-07,4.86573E-07,4.29606E-07,1.74474E-07
179,"post1981rota",13.01361,42.72056,9.99999E-01,4.08316E-07,4.86104E-08,4.81910E-08,4.26918E-08,1.30495E-08
43,"pre1919rota",13.02028,42.24056,9.99991E-01,3.06852E-06,1.26684E-06,1.69236E-06,1.90966E-06,1.28714E-06
221,"post1981rota",13.02028,42.24056,9.99998E-01,1.59488E-06,2.31677E-07,2.52960E-07,2.66929E-07,1.16346E-07
21,"pre1919rota",13.02306,42.39472,9.99993E-01,2.59672E-06,1.02744E-06,1.32183E-06,1.39617E-06,8.21964E-07
199,"post1981rota",13.02306,42.39472,9.99998E-01,1.19278E-06,1.64141E-07,1.74614E-07,1.75850E-07,6.97673E-08
5,"pre1919rota",13.03944,42.88028,9.99998E-01,7.70263E-07,2.63747E-07,2.97544E-07,2.47211E-07,8.84331E-08
183,"post1981rota",13.03944,42.88028,1.00000E+00,2.47068E-07,2.80628E-08,2.71862E-08,2.30848E-08,6.47257E-09
25,"pre1919rota",13.03972,42.17722,9.99990E-01,3.16864E-06,1.32170E-06,1.78172E-06,2.04249E-06,1.42234E-06
203,"post1981rota",13.03972,42.17722,9.99997E-01,1.69907E-06,2.50032E-07,2.74712E-07,2.93150E-07,1.30728E-07
31,"pre1919rota",13.04611,42.22750,9.99990E-01,3.23039E-06,1.35651E-06,1.83943E-06,2.13033E-06,1.51510E-06
209,"post1981rota",13.04611,42.22750,9.99997E-01,1.76809E-06,2.62375E-07,2.89435E-07,3.11091E-07,1.40757E-07
24,"pre1919rota",13.04861,42.13833,9.99990E-01,3.13776E-06,1.30459E-06,1.75364E-06,2.00033E-06,1.37878E-06
202,"post1981rota",13.04861,42.13833,9.99997E-01,1.66598E-06,2.44167E-07,2.67742E-07,2.84711E-07,1.26063E-07
32,"pre1919rota",13.05556,42.45222,9.99993E-01,2.43296E-06,9.49918E-07,1.20769E-06,1.24906E-06,7.03986E-07
210,"post1981rota",13.05556,42.45222,9.99998E-01,1.07685E-06,1.45643E-07,1.53641E-07,1.52395E-07,5.86114E-08
18,"pre1919rota",13.05972,42.40750,9.99992E-01,2.69107E-06,1.07325E-06,1.39053E-06,1.48714E-06,8.98128E-07
196,"post1981rota",13.05972,42.40750,9.99998E-01,1.26418E-06,1.75749E-07,1.87884E-07,1.90893E-07,7.70928E-08
37,"pre1919rota",13.06861,42.29611,9.99990E-01,3.23684E-06,1.36019E-06,1.84559E-06,2.13980E-06,1.52527E-06
215,"post1981rota",13.06861,42.29611,9.99997E-01,1.77554E-06,2.63716E-07,2.91040E-07,3.13055E-07,1.41864E-07
34,"pre1919rota",13.07000,42.15833,9.99990E-01,3.30710E-06,1.40094E-06,1.91437E-06,2.24693E-06,1.64249E-06
212,"post1981rota",13.07000,42.15833,9.99997E-01,1.85993E-06,2.79025E-07,3.09413E-07,3.35675E-07,1.54737E-07
14,"pre1919rota",13.07944,42.41806,9.99992E-01,2.71485E-06,1.08494E-06,1.40822E-06,1.51086E-06,9.18394E-07
192,"post1981rota",13.07944,42.41806,9.99998E-01,1.28276E-06,1.78798E-07,1.91383E-07,1.94885E-07,7.90578E-08
8,"pre1919rota",13.08722,43.03667,9.99999E-01,5.08311E-07,1.69375E-07,1.86298E-07,1.47558E-07,4.78165E-08
186,"post1981rota",13.08722,43.03667,1.00000E+00,1.54181E-07,1.68967E-08,1.60842E-08,1.32246E-08,3.47303E-09
81,"pre1919rota",13.08806,42.10083,9.99990E-01,3.21426E-06,1.34734E-06,1.82416E-06,2.10691E-06,1.49011E-06
259,"post1981rota",13.08806,42.10083,9.99997E-01,1.74968E-06,2.59068E-07,2.85483E-07,3.06260E-07,1.38042E-07
10,"pre1919rota",13.08806,42.93222,9.99999E-01,6.88684E-07,2.33967E-07,2.62035E-07,2.14755E-07,7.46836E-08
188,"post1981rota",13.08806,42.93222,1.00000E+00,2.17291E-07,2.44268E-08,2.35441E-08,1.98070E-08,5.44927E-09
3,"pre1919rota",13.09389,42.79583,9.99998E-01,1.03316E-06,3.62112E-07,4.17466E-07,3.61351E-07,1.41063E-07
181,"post1981rota",13.09389,42.79583,1.00000E+00,3.48989E-07,4.09170E-08,4.02657E-08,3.51984E-08,1.04808E-08
39,"pre1919rota",13.09667,42.52611,9.99994E-01,2.20107E-06,8.43924E-07,1.05567E-06,1.06071E-06,5.63531E-07
217,"post1981rota",13.09667,42.52611,9.99999E-01,9.27521E-07,1.22524E-07,1.27789E-07,1.24178E-07,4.58243E-08
27,"pre1919rota",13.12639,42.26611,9.99987E-01,3.60172E-06,1.59014E-06,2.25308E-06,2.81499E-06,2.34352E-06
205,"post1981rota",13.12639,42.26611,9.99996E-01,2.31407E-06,3.65273E-07,4.15094E-07,4.70475E-07,2.37149E-07
16,"pre1919rota",13.13528,42.51389,9.99994E-01,2.39553E-06,9.32526E-07,1.18244E-06,1.21717E-06,6.79257E-07
194,"post1981rota",13.13528,42.51389,9.99998E-01,1.05162E-06,1.41677E-07,1.49173E-07,1.47452E-07,5.63039E-08
9,"pre1919rota",13.13861,42.94583,9.99999E-01,6.83746E-07,2.32177E-07,2.59912E-07,2.12839E-07,7.38954E-08
