asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,9.99949E-01,1.65903E-05,6.89391E-06,9.27461E-06,1.06272E-05,7.51179E-06
206,"post1981rota",12.80194,42.52722,9.99986E-01,8.88313E-06,1.31022E-06,1.44276E-06,1.54862E-06,7.04662E-07
33,"pre1919rota",12.83333,42.52778,9.99940E-01,1.81538E-05,7.77824E-06,1.07483E-05,1.28964E-05,1.00088E-05
211,"post1981rota",12.83333,42.52778,9.99983E-01,1.06842E-05,1.63608E-06,1.83411E-06,2.03218E-06,9.85195E-07
6,"pre1919rota",12.84333,42.58611,9.99934E-01,1.91229E-05,8.39101E-06,1.18384E-05,1.47179E-05,1.22794E-05
184,"post1981rota",12.84333,42.58611,9.99980E-01,1.21489E-05,1.91449E-06,2.17572E-06,2.46955E-06,1.25589E-06
41,"pre1919rota",12.85722,42.51583,9.99937E-01,1.86563E-05,8.08738E-06,1.12898E-05,1.37842E-05,1.10837E-05
219,"post1981rota",12.85722,42.51583,9.99981E-01,1.13953E-05,1.76974E-06,1.99730E-06,2.23940E-06,1.11147E-06
40,"pre1919rota",12.86306,42.40500,9.99968E-01,1.18910E-05,4.60635E-06,5.82519E-06,5.99203E-06,3.41164E-06
218,"post1981rota",12.86306,42.40500,9.99992E-01,5.20989E-06,7.03602E-07,7.42858E-07,7.39869E-07,2.90320E-07
38,"pre1919rota",12.88917,42.50306,9.99935E-01,1.89732E-05,8.29152E-06,1.16566E-05,1.44045E-05,1.18704E-05
216,"post1981rota",12.88917,42.50306,9.99981E-01,1.18952E-05,1.86540E-06,2.11503E-06,2.39085E-06,1.20603E-06
19,"pre1919rota",12.90500,42.46861,9.99944E-01,1.75407E-05,7.41973E-06,1.01387E-05,1.19331E-05,8.90523E-06
197,"post1981rota",12.90500,42.46861,9.99984E-01,9.91712E-06,1.49504E-06,1.66352E-06,1.81888E-06,8.58677E-07
42,"pre1919rota",12.92778,42.27722,9.99986E-01,5.88490E-06,2.11030E-06,2.48980E-06,2.26175E-06,1.00416E-06
220,"post1981rota",12.92778,42.27722,9.99997E-01,2.12107E-06,2.59067E-07,2.60607E-07,2.37957E-07,7.85909E-08
4,"pre1919rota",12.93444,42.71194,9.99944E-01,1.75087E-05,7.40146E-06,1.01081E-05,1.18858E-05,8.85258E-06
182,"post1981rota",12.93444,42.71194,9.99984E-01,9.87949E-06,1.48820E-06,1.65529E-06,1.80869E-06,8.52728E-07
22,"pre1919rota",12.94889,42.38778,9.99965E-01,1.28639E-05,5.04902E-06,6.45975E-06,6.78236E-06,4.02328E-06
200,"post1981rota",12.94889,42.38778,9.99991E-01,5.84185E-06,8.02273E-07,8.53850E-07,8.62657E-07,3.48185E-07
2,"pre1919rota",12.95417,42.65361,9.99921E-01,2.03319E-05,9.33371E-06,1.36957E-05,1.82034E-05,1.74406E-05
180,"post1981rota",12.95417,42.65361,9.99974E-01,1.50421E-05,2.50067E-06,2.91545E-06,3.46220E-06,1.92786E-06
29,"pre1919rota",12.96472,42.56500,9.99914E-01,2.06552E-05,9.74130E-06,1.46324E-05,2.02357E-05,2.10720E-05
207,"post1981rota",12.96472,42.56500,9.99970E-01,1.68129E-05,2.88398E-06,3.41311E-06,4.16193E-06,2.44426E-06
20,"pre1919rota",12.96500,42.21583,9.99991E-01,3.89190E-06,1.35714E-06,1.56088E-06,1.35331E-06,5.47073E-07
198,"post1981rota",12.96500,42.21583,9.99998E-01,1.31601E-06,1.54920E-07,1.53079E-07,1.35309E-07,4.18696E-08
30,"pre1919rota",12.96694,42.27389,9.99986E-01,5.93251E-06,2.12872E-06,2.51299E-06,2.28525E-06,1.01680E-06
208,"post1981rota",12.96694,42.27389,9.99997E-01,2.14147E-06,2.61780E-07,2.63446E-07,2.40730E-07,7.96271E-08
26,"pre1919rota",12.98694,42.32417,9.99979E-01,8.61354E-06,3.19917E-06,3.89626E-06,3.74840E-06,1.86684E-06
204,"post1981rota",12.98694,42.32417,9.99995E-01,3.38149E-06,4.32481E-07,4.44834E-07,4.22781E-07,1.51204E-07
15,"pre1919rota",12.99722,42.19722,9.99992E-01,3.43531E-06,1.18960E-06,1.35952E-06,1.16509E-06,4.60157E-07
193,"post1981rota",12.99722,42.19722,9.99998E-01,1.14410E-06,1.33464E-07,1.31296E-07,1.15129E-07,3.50569E-08
35,"pre1919rota",12.99861,42.19167,9.99993E-01,3.30292E-06,1.14137E-06,1.30193E-06,1.11187E-06,4.36109E-07
213,"post1981rota",12.99861,42.19167,9.99999E-01,1.09509E-06,1.27401E-07,1.25168E-07,1.09493E-07,3.31813E-08
1,"pre1919rota",13.01361,42.72056,9.99945E-01,1.73749E-05,7.32563E-06,9.98157E-06,1.16907E-05,8.63753E-06
179,"post1981rota",13.01361,42.72056,9.99985E-01,9.72467E-06,1.46017E-06,1.62161E-06,1.76704E-06,8.28536E-07
43,"pre1919rota",13.02028,42.24056,9.99989E-01,4.68365E-06,1.65225E-06,1.92058E-06,1.69811E-06,7.14385E-07
221,"post1981rota",13.02028,42.24056,9.99998E-01,1.62574E-06,1.94360E-07,1.93503E-07,1.73410E-07,5.51757E-08
21,"pre1919rota",13.02306,42.39472,9.99961E-01,1.37802E-05,5.47851E-06,7.08926E-06,7.59266E-06,4.68559E-06
199,"post1981rota",13.02306,42.39472,9.99990E-01,6.48561E-06,9.05228E-07,9.70896E-07,9.94478E-07,4.12401E-07
5,"pre1919rota",13.03944,42.88028,9.99986E-01,6.15238E-06,2.21406E-06,2.62070E-06,2.39482E-06,1.07611E-06
183,"post1981rota",13.03944,42.88028,9.99997E-01,2.23631E-06,2.74438E-07,2.76706E-07,2.53714E-07,8.44972E-08
25,"pre1919rota",13.03972,42.17722,9.99994E-01,2.96067E-06,1.01742E-06,1.15464E-06,9.76902E-07,3.76014E-07
203,"post1981rota",13.03972,42.17722,9.99999E-01,9.69967E-07,1.12025E-07,1.09671E-07,9.53166E-08,2.85051E-08
31,"pre1919rota",13.04611,42.22750,9.99990E-01,4.21800E-06,1.47803E-06,1.70757E-06,1.49287E-06,6.13955E-07
209,"post1981rota",13.04611,42.22750,9.99998E-01,1.44208E-06,1.70881E-07,1.69395E-07,1.50620E-07,4.71765E-08
24,"pre1919rota",13.04861,42.13833,9.99995E-01,2.25904E-06,7.66649E-07,8.60086E-07,7.12304E-07,2.62487E-07
202,"post1981rota",13.04861,42.13833,9.99999E-01,7.20744E-07,8.18748E-08,7.95081E-08,6.80836E-08,1.97538E-08
32,"pre1919rota",13.05556,42.45222,9.99943E-01,1.77741E-05,7.55413E-06,1.03651E-05,1.22866E-05,9.30284E-06
210,"post1981rota",13.05556,42.45222,9.99984E-01,1.01981E-05,1.54633E-06,1.72536E-06,1.89580E-06,9.03886E-07
18,"pre1919rota",13.05972,42.40750,9.99959E-01,1.43585E-05,5.75663E-06,7.50463E-06,8.14218E-06,5.15592E-06
196,"post1981rota",13.05972,42.40750,9.99990E-01,6.92059E-06,9.76187E-07,1.05228E-06,1.08751E-06,4.59002E-07
37,"pre1919rota",13.06861,42.29611,9.99984E-01,6.79872E-06,2.46740E-06,2.94305E-06,2.72717E-06,1.26052E-06
215,"post1981rota",13.06861,42.29611,9.99996E-01,2.52180E-06,3.12956E-07,3.17258E-07,2.93767E-07,9.97784E-08
34,"pre1919rota",13.07000,42.15833,9.99994E-01,2.55735E-06,8.72673E-07,9.84005E-07,8.22655E-07,3.09113E-07
212,"post1981rota",13.07000,42.15833,9.99999E-01,8.25431E-07,9.44557E-08,9.20556E-08,7.93518E-08,2.33391E-08
14,"pre1919rota",13.07944,42.41806,9.99958E-01,1.47349E-05,5.94083E-06,7.78322E-06,8.51772E-06,5.48897E-06
192,"post1981rota",13.07944,42.41806,9.99989E-01,7.21769E-06,1.02535E-06,1.10905E-06,1.15317E-06,4.92684E-07
8,"pre1919rota",13.08722,43.03667,9.99996E-01,1.98567E-06,6.70362E-07,7.48481E-07,6.14435E-07,2.22369E-07
186,"post1981rota",13.08722,43.03667,9.99999E-01,6.26781E-07,7.07161E-08,6.84425E-08,5.82480E-08,1.66857E-08
81,"pre1919rota",13.08806,42.10083,9.99996E-01,1.72550E-06,5.79415E-07,6.43778E-07,5.23746E-07,1.86139E-07
259,"post1981rota",13.08806,42.10083,9.99999E-01,5.38829E-07,6.03739E-08,5.82362E-08,4.92567E-08,1.39330E-08
10,"pre1919rota",13.08806,42.93222,9.99991E-01,4.04107E-06,1.41232E-06,1.62772E-06,1.41672E-06,5.77315E-07
