rup_id	involved_faults
404	1 2 11 12 
405	1 2 11 29 
406	1 2 12 13 
407	1 2 12 29 
408	1 2 28 29 
409	1 3 5 6 
410	1 4 5 6 
411	1 5 6 7 
412	1 5 6 11 
413	1 5 6 29 
414	1 5 6 57 
415	1 5 6 58 
416	1 6 7 8 
417	1 6 7 11 
418	1 6 7 29 
419	1 6 7 57 
420	1 6 7 58 
421	1 6 11 12 
422	1 6 11 29 
423	1 6 11 57 
424	1 6 11 58 
425	1 6 28 29 
426	1 6 29 57 
427	1 6 29 58 
428	1 6 57 58 
429	1 6 58 59 
430	1 7 8 9 
431	1 7 8 11 
432	1 7 8 29 
433	1 7 8 57 
434	1 7 8 58 
435	1 7 11 12 
436	1 7 11 29 
437	1 7 11 57 
438	1 7 11 58 
439	1 7 28 29 
440	1 7 29 57 
441	1 7 29 58 
442	1 7 57 58 
443	1 7 58 59 
444	1 11 12 13 
445	1 11 12 29 
446	1 11 28 29 
447	1 27 28 29 
448	2 5 6 7 
449	2 6 7 8 
450	2 6 7 11 
451	2 6 7 12 
452	2 6 7 57 
453	2 6 7 58 
454	2 7 8 9 
455	2 7 8 11 
456	2 7 8 12 
457	2 7 8 57 
458	2 7 8 58 
459	2 7 11 12 
460	2 7 11 57 
461	2 7 11 58 
462	2 7 12 13 
463	2 7 12 57 
464	2 7 12 58 
465	2 7 57 58 
466	2 7 58 59 
467	2 11 12 13 
468	3 4 5 6 
469	3 5 6 7 
470	3 5 6 57 
471	3 5 6 58 
472	4 5 6 7 
473	4 5 6 57 
474	4 5 6 58 
475	5 6 7 8 
476	5 6 7 57 
477	5 6 7 58 
478	5 6 57 58 
479	5 6 58 59 
480	6 7 8 9 
481	6 7 8 57 
482	6 7 8 58 
483	6 7 57 58 
484	6 7 58 59 
485	6 42 58 59 
486	6 57 58 59 
487	7 8 9 43 
488	7 8 9 44 
489	7 8 9 57 
490	7 8 9 58 
491	7 8 57 58 
492	7 8 58 59 
493	7 42 58 59 
494	7 57 58 59 
495	8 9 42 43 
496	8 9 43 44 
497	9 42 43 44 
498	9 42 43 59 
499	10 17 23 24 
500	10 23 24 25 
501	10 23 24 38 
502	10 23 24 56 
503	10 23 24 80 
504	10 23 38 50 
505	10 23 38 51 
506	10 23 38 56 
507	10 23 38 80 
508	14 15 16 33 
509	15 16 33 34 
510	16 33 34 35 
511	16 33 34 70 
512	17 18 19 24 
513	17 18 19 25 
514	17 18 19 26 
515	17 18 19 63 
516	17 18 19 80 
517	17 18 23 24 
518	17 18 24 25 
519	17 18 24 26 
520	17 18 24 38 
521	17 18 24 80 
522	17 18 25 26 
523	17 18 25 80 
524	17 18 26 63 
525	17 18 26 80 
526	17 18 38 80 
527	17 18 51 80 
528	17 19 24 25 
529	17 19 25 26 
530	17 19 25 63 
531	17 19 25 80 
532	17 23 24 25 
533	17 23 24 38 
534	17 23 24 80 
535	17 23 38 80 
536	17 24 25 26 
537	17 24 25 38 
538	17 24 25 80 
539	17 24 38 50 
540	17 24 38 51 
541	17 24 38 80 
542	17 24 51 80 
543	17 25 26 63 
544	17 25 26 80 
545	17 25 38 80 
546	17 25 51 80 
547	17 38 50 80 
548	17 38 51 80 
549	17 50 51 80 
550	18 19 24 25 
551	18 19 25 26 
552	18 19 25 63 
553	18 19 25 80 
554	18 19 26 63 
555	18 19 63 84 
556	18 23 24 25 
557	18 24 25 26 
558	18 24 25 38 
559	18 24 25 80 
560	18 25 26 63 
561	18 25 26 80 
562	18 25 38 80 
563	18 25 51 80 
564	18 26 63 84 
565	19 23 24 25 
566	19 24 25 26 
567	19 24 25 38 
568	19 24 25 63 
569	19 24 25 80 
570	19 25 26 63 
571	19 25 26 80 
572	19 25 38 80 
573	19 25 51 80 
574	19 25 63 80 
575	19 25 63 84 
576	19 26 63 84 
577	20 21 22 48 
578	20 21 22 66 
579	20 21 41 48 
580	20 21 48 66 
581	20 21 65 66 
582	20 64 65 66 
583	21 22 41 48 
584	21 40 41 48 
585	23 24 25 26 
586	23 24 25 38 
587	23 24 25 80 
588	23 24 38 50 
589	23 24 38 51 
590	23 24 38 80 
591	23 24 51 80 
592	23 25 38 80 
593	23 38 49 50 
594	23 38 50 51 
595	23 38 50 80 
596	23 38 50 83 
597	23 38 51 80 
598	24 25 26 38 
599	24 25 26 63 
600	24 25 26 80 
601	24 25 38 50 
602	24 25 38 51 
603	24 25 38 80 
604	24 25 51 80 
605	24 38 49 50 
606	24 38 50 51 
607	24 38 50 80 
608	24 38 50 83 
609	24 38 51 80 
610	24 50 51 80 
611	25 26 38 80 
612	25 26 51 80 
613	25 26 63 80 
614	25 26 63 84 
615	25 38 50 80 
616	25 38 51 80 
617	25 50 51 80 
618	27 28 29 55 
619	27 28 54 55 
620	27 53 54 55 
621	33 34 35 36 
622	33 34 35 70 
623	33 34 69 70 
624	34 35 36 37 
625	34 35 36 70 
626	34 35 69 70 
627	34 68 69 70 
628	35 36 37 70 
629	35 36 69 70 
630	35 68 69 70 
631	38 49 50 51 
632	38 49 50 73 
633	38 49 50 80 
634	38 49 50 83 
635	38 50 51 80 
636	38 50 51 83 
637	38 50 80 83 
638	38 50 82 83 
639	39 40 41 48 
640	39 40 41 76 
641	39 40 75 76 
642	39 74 75 76 
643	40 41 48 76 
644	40 41 75 76 
645	40 74 75 76 
646	42 43 44 59 
647	42 43 58 59 
648	42 57 58 59 
649	49 50 51 73 
650	49 50 51 80 
651	49 50 51 83 
652	49 50 72 73 
653	49 50 73 83 
654	49 50 82 83 
655	49 71 72 73 
656	49 72 73 83 
657	49 73 82 83 
658	49 81 82 83 
659	50 51 80 83 
660	50 51 82 83 
661	50 81 82 83 
662	52 53 54 55 
663	60 61 62 81 
664	61 62 81 82 
665	62 81 82 83 
666	67 68 69 70 
667	0 1 2 5 6 
668	0 1 2 6 7 
669	0 1 2 6 11 
670	0 1 2 6 12 
671	0 1 2 6 29 
672	0 1 2 6 57 
673	0 1 2 6 58 
674	0 1 2 7 8 
675	0 1 2 7 11 
676	0 1 2 7 12 
677	0 1 2 7 29 
678	0 1 2 7 57 
679	0 1 2 7 58 
680	0 1 2 11 12 
681	0 1 2 11 29 
682	0 1 2 12 13 
683	0 1 2 12 29 
684	0 1 2 28 29 
685	0 1 3 5 6 
686	0 1 4 5 6 
687	0 1 5 6 7 
688	0 1 5 6 11 
689	0 1 5 6 29 
690	0 1 5 6 57 
691	0 1 5 6 58 
692	0 1 6 7 8 
693	0 1 6 7 11 
694	0 1 6 7 29 
695	0 1 6 7 57 
696	0 1 6 7 58 
697	0 1 6 11 12 
698	0 1 6 11 29 
699	0 1 6 11 57 
700	0 1 6 11 58 
701	0 1 6 28 29 
702	0 1 6 29 57 
703	0 1 6 29 58 
704	0 1 6 57 58 
705	0 1 6 58 59 
706	0 1 7 8 9 
707	0 1 7 8 11 
708	0 1 7 8 29 
709	0 1 7 8 57 
710	0 1 7 8 58 
711	0 1 7 11 12 
712	0 1 7 11 29 
713	0 1 7 11 57 
714	0 1 7 11 58 
715	0 1 7 28 29 
716	0 1 7 29 57 
717	0 1 7 29 58 
718	0 1 7 57 58 
719	0 1 7 58 59 
720	0 1 11 12 13 
721	0 1 11 12 29 
722	0 1 11 28 29 
723	0 1 27 28 29 
724	0 2 5 6 7 
725	0 2 6 7 8 
726	0 2 6 7 11 
727	0 2 6 7 12 
728	0 2 6 7 29 
729	0 2 6 7 57 
730	0 2 6 7 58 
731	0 3 4 5 6 
732	0 3 5 6 7 
733	0 3 5 6 29 
734	0 3 5 6 57 
735	0 3 5 6 58 
736	0 4 5 6 7 
737	0 4 5 6 29 
738	0 4 5 6 57 
739	0 4 5 6 58 
740	0 5 6 7 8 
741	0 5 6 7 29 
742	0 5 6 7 57 
743	0 5 6 7 58 
744	0 5 6 28 29 
745	0 5 6 29 57 
746	0 5 6 29 58 
747	0 5 6 57 58 
748	0 5 6 58 59 
749	0 6 7 8 9 
750	0 6 7 8 29 
751	0 6 7 8 57 
752	0 6 7 8 58 
753	0 6 7 28 29 
754	0 6 7 29 57 
755	0 6 7 29 58 
756	0 6 7 57 58 
757	0 6 7 58 59 
758	0 6 27 28 29 
759	0 6 28 29 57 
760	0 6 28 29 58 
761	0 6 29 57 58 
762	0 6 29 58 59 
763	0 6 42 58 59 
764	0 6 57 58 59 
765	0 27 28 29 55 
766	1 2 3 5 6 
767	1 2 4 5 6 
768	1 2 5 6 7 
769	1 2 5 6 11 
770	1 2 5 6 12 
771	1 2 5 6 29 
772	1 2 5 6 57 
773	1 2 5 6 58 
774	1 2 6 7 8 
775	1 2 6 7 11 
776	1 2 6 7 12 
777	1 2 6 7 29 
778	1 2 6 7 57 
779	1 2 6 7 58 
780	1 2 6 11 12 
781	1 2 6 11 29 
782	1 2 6 11 57 
783	1 2 6 11 58 
784	1 2 6 12 13 
785	1 2 6 12 29 
786	1 2 6 12 57 
787	1 2 6 12 58 
788	1 2 6 28 29 
789	1 2 6 29 57 
790	1 2 6 29 58 
791	1 2 6 57 58 
792	1 2 6 58 59 
793	1 2 7 8 9 
794	1 2 7 8 11 
795	1 2 7 8 12 
796	1 2 7 8 29 
797	1 2 7 8 57 
798	1 2 7 8 58 
799	1 2 7 11 12 
800	1 2 7 11 29 
801	1 2 7 11 57 
802	1 2 7 11 58 
803	1 2 7 12 13 
804	1 2 7 12 29 
805	1 2 7 12 57 
